doi,url,title,authors,year,venue,pub_status,text_basis,design,n,population,ai_exposure,measures,key_finding,effect_size,exposure_duration,limitations,causal_language,benefit_domain,caveat_flags
10.1145/3544548.3581196,https://doi.org/10.1145/3544548.3581196,Co-Writing with Opinionated Language Models Affects Users' Views,Maurice Jakesch; Advait Bhat; Daniel Buschek et al.,2023,CHI Conference on Human Factors in Computing Systems,peer-reviewed,full text of the arXiv preprint version (arXiv:2302.00560) of the same work,Randomised online experiment with a language-model writing assistant configured to argue one side; independent judges rated the resulting writing,"1,506 participants; 500 independent judges",Adults not explicitly stated in retrieved text; online participants,GPT-3-powered writing assistant biased toward 'social media is good' or 'social media is bad' during a single writing task,Opinions expressed in participants' writing (judge-rated); participants' own attitudes in a subsequent survey,Authors: 'Using the opinionated language model affected the opinions expressed in participants' writing and shifted their opinions in the subsequent attitude survey.' They argue 'the opinions built into AI language technologies need to be monitored and engineered more carefully.','corresponding to a treatment effect of d=0.34'; 'difference in opinion corresponds to an effect size of d=0.22 (p<0.0...)' [truncated in retrieved text],Single session,"Authors: 'As appropriate for an early study, our experiment has several limitations: We only tested whether a language model affected participants' views on a single topic.'",causal (randomised),b,Attitude shift measured immediately after a single writing task; text basis is the preprint version; direction of shift is set by the model's configured bias (a harm-side mechanism for collective opinion)
10.1145/3715928.3737481,https://doi.org/10.1145/3715928.3737481,"How AI Ideas Affect the Creativity, Diversity, and Evolution of Human Ideas: Evidence from a Large, Dynamic Experiment",Joshua Ashkinaze; Julia Mendelsohn; Li Qiwei et al.,2025,ACM Conference on Economics and Computation (EC '25),peer-reviewed,full text of the arXiv preprint version (arXiv:2401.13481) of the same work,Large dynamic online experiment: ideas from prior participants in a condition become stimuli for later participants in the same condition; varied AI exposure (none/low/high) and AI disclosure,"800+ participants, 40+ countries",Adults not explicitly stated in retrieved text; online participants across 40+ countries,"Viewing 0, few, or many ChatGPT-generated creative ideas (labelled as AI or not) before brainstorming one's own idea",Individual idea creativity ratings; collective idea diversity and its rate of change across experimental iterations; AI-idea adoption,"Authors: 'high AI exposure (but not low AI exposure) did not affect the creativity of individual ideas but did increase the average amount and rate of change of collective idea diversity. AI made ideas different, not better.' They conclude 'introducing AI ideas may increase collective diversity but not individual creativity.'",not reported in retrieved text (regression coefficients present in the PDF but not isolated as an interpretable headline statistic in the retrieved extraction),Single session per participant (the design chains sessions across participants),"Authors: 'First, we measured the effect of AI ideas for a single task. ... Second, we had to operationalize ‘AI ideas’ in some concrete way (among a large array of choices)'",causal (randomised) — randomised exposure and disclosure conditions in a dynamic design,b,"Direction CONTRADICTS Doshi & Hauser and Anderson et al. on collective diversity — a genuine disagreement in this literature, not a settled finding; text basis is the preprint version"
10.1001/jamanetworkopen.2024.40969,https://doi.org/10.1001/jamanetworkopen.2024.40969,Large Language Model Influence on Diagnostic Reasoning: A Randomized Clinical Trial,Ethan Goh; Robert Gallo; Jason Hom et al.,2024,JAMA Network Open,peer-reviewed,full text (PMC11519755),Single-blind randomised clinical trial (NCT06157944); LLM + conventional resources vs conventional resources only; secondary exploratory LLM-alone arm,"50 physicians (26 attendings, 24 residents)",ADULTS — practising physicians and residents (median years in practice 3 [IQR 2-8]),Access to GPT-4 in addition to conventional diagnostic resources during a 60-minute session with up to 6 clinical vignettes,"Validated diagnostic-reasoning rubric (differential accuracy, supporting/opposing factors, next steps), graded by blinded expert consensus; time per case; final diagnosis accuracy","Authors: 'the availability of an LLM to physicians as a diagnostic aid did not significantly improve clinical reasoning compared with conventional resources. The LLM alone demonstrated higher performance than both physician groups, indicating the need for technology and workforce development'.","'adjusted difference of 2 percentage points (95% CI, -4 to 8 percentage points; P = .60)'; time '-82 (95% CI, -195 to 31; P = .20) seconds'; 'The LLM alone scored 16 percentage points (95% CI, 2-30 percentage points; P = .03) higher than the conventional resources group'",Single session (60 minutes),Authors: 'This trial has limitations. We focused our investigation around a single LLM ... Participants were given access to the chatbot without explicit training in prompt engineering techniques that could have improved the quality of their interactions',causal (randomised),c,"NULL result for the human+AI scaffold against a real comparator (conventional resources); small n (50); vignettes, not real patients"
10.1038/s41591-024-03456-y,https://doi.org/10.1038/s41591-024-03456-y,GPT-4 assistance for improvement of physician performance on patient care tasks: a randomized controlled trial,Ethan Goh; Robert J. Gallo; Eric Strong et al.,2025,Nature Medicine,peer-reviewed,full text (PMC12380382),Prospective randomised controlled trial (NCT06208423); GPT-4 + conventional resources vs conventional resources alone; LLM-alone comparison,92 practising physicians,ADULTS — 92 practising physicians,GPT-4 access while answering five expert-developed management-reasoning vignettes with sequentially revealed information,Expert-developed scoring rubric total score (management reasoning); domain-specific scores; time per case,Authors: 'Physicians using the LLM scored significantly higher compared to those using conventional resources'; 'LLM assistance can improve physician management reasoning in complex clinical vignettes compared to conventional resources and should be validated in real clinical practice.' They also report 'no significant difference between LLM-augmented physicians and LLM alone'.,"'mean difference = 6.5%, 95% confidence interval (CI) = 2.7 to 10.2, P < 0.001'; time 'mean difference = 119.3 s, 95% CI = 17.4 to 221.2, P = 0.02'; LLM-augmented vs LLM alone '-0.9%, 95% CI = -9.0 to 7.2, P = 0.8'",Single session,"Authors: 'This study has multiple limitations. First, the cases are clinical vignettes, based on, but not actual patient cases. While our scoring rubrics show substantial inter-rater reliability, validity evidence for these rubrics have not been gathered outside this study.'",causal (randomised),c,"Vignettes, not real patients; authors explicitly call for validation in clinical practice; benefit did not exceed the LLM alone"
10.1038/s41598-025-97652-6,https://doi.org/10.1038/s41598-025-97652-6,AI tutoring outperforms in-class active learning: an RCT introducing a novel research-based design in an authentic educational setting,Greg Kestin; Kelly Miller; Anna Klales et al.,2025,Scientific Reports,peer-reviewed,full text (PMC12179260),"Randomised controlled trial in an authentic course setting; AI tutor vs in-class active learning, two lessons over two consecutive weeks",316 students at pre-test (AI group N = 142; in-class active learning group N = 174),College/undergraduate students; adult status not explicitly stated in retrieved text,Custom GPT-4-based tutor built on the same pedagogical principles as the in-class lessons,"Post-test content mastery scores (learning gains vs combined pre-test baseline); self-reported engagement, enjoyment, motivation, growth mindset","Authors: 'students learn significantly more in less time when using the AI tutor, compared with the in-class active learning. They also feel more engaged and more motivated.'","'higher median (M) post-score (M = 4.5, N = 142) compared to those in the in-class active learning group (M = 3.5, N = 174)'; 'median learning gains ... in the AI-tutored group were over double those for students in the in-class active learning group'; Mann-Whitney 'z = -5.6, < 10' [exponent and P glyph dropped in retrieved PMC text]; engagement 't(311) = - 4.5, < 0.0001'; motivation 't(311) = -3.4, < 0.001'",Two lessons across two consecutive weeks,"Authors: 'Our AI tutoring approach was applied in a setting where students were engaging substantially with material in particular subject areas for the first time. Our lessons were comprised of activities focused on learning objectives categorized at the understanding, applying, and analyzing levels of Bloom's Taxonomy ... This stage of learning ... appears to be particularly well suited for current generative AI tutors.'",causal (randomised),c,"Comparator is a real alternative (in-class active learning) — the strongest design feature; but outcomes are immediate post-tests with no retention follow-up, the AI tutor was custom-built by the researchers, and two of four affective measures were null"
10.1038/s41562-024-02024-1,https://doi.org/10.1038/s41562-024-02024-1,When combinations of humans and AI are useful: a systematic review and meta-analysis,Michelle Vaccaro; Abdullah Almaatouq; Thomas W. Malone,2024,Nature Human Behaviour,peer-reviewed,full text (PMC11659167),"Preregistered systematic review and meta-analysis of experimental studies (ACM DL, Web of Science, AIS eLibrary; published 1 Jan 2020 - 30 June 2023)",106 experimental studies reporting 370 effect sizes,Human participants across the included experiments; adult status not stated at the meta-analytic level in retrieved text,Varied — any human-AI combination evaluated against both human-alone and AI-alone performance,"Task performance of human alone, AI alone, and human-AI combination (standardised into Hedges' g)","Authors: 'on average, human-AI combinations performed significantly worse than the best of humans or AI alone'; 'performance losses in tasks that involved making decisions and significantly greater gains in tasks that involved creating content'; and 'when humans outperformed AI alone, we found performance gains in the combination, but when AI outperformed humans alone, we found losses.'","'Hedges' g = -0.23; 95% confidence interval, -0.39 to -0.07'",Not applicable (pooled synthesis of mostly single-session experiments),"Authors: 'Limitations of the evidence assessed here include possible publication bias and variations in the study designs analysed'; and in text, 'our quantitative results apply to the subset of studies we collected ... We can, however, imagine tasks that a human and/or AI cannot perform alone but can when working with the other. Our analysis does not include such studies.'",pooled synthesis,c (bounds the benefit claim),The single most important counterweight to scaffold-benefit claims: on average human+AI is WORSE than the best of either alone; content-creation tasks are the exception
10.1093/pnasnexus/pgaf316,https://doi.org/10.1093/pnasnexus/pgaf316,Experimental evidence of the effects of large language models versus web search on depth of learning,Shiri Melumad; Jin Ho Yun,2025,PNAS Nexus,peer-reviewed,full text (PMC12560091),"Seven online and laboratory experiments comparing learning from LLM syntheses vs traditional web search, including preregistered replications","10,462 across seven experiments",Adults not explicitly stated in retrieved text; online and laboratory participants,Learning about a topic from LLM summaries (in some experiments augmented with real-time web links) vs standard web search links,"Self-reported depth/shallowness of knowledge; investment in forming advice; objective features of the advice produced (sparseness, originality); recipients' adoption of the advice","Authors: 'when individuals learn about a topic from LLM syntheses, they risk developing shallower knowledge than when they learn through standard web search, even when the core facts in the results are the same'; advice formed afterwards is 'sparser, less original, and ultimately less likely to be adopted by recipients'. Authors present this as a theory supported across seven experiments and discuss limitations.","not reported in retrieved text (condition means with SDs appear in the retrieved text, e.g. 'M = 3.75, SD = 8...' fragments, but no headline effect size with CI was cleanly recoverable from the retrieved rendering)",Single session per experiment,"Authors discuss risks of AI-driven deskilling in a 'limitations, and future research' section; specific self-identified limitations were not cleanly isolated in the retrieved rendering",causal (randomised) — experiments with random assignment to LLM vs web search,c (counter-evidence),HARM-side result against the most realistic comparator (web search); large N and multiple replications make it one of the better-powered comparisons in this set
10.1145/3579605,https://doi.org/10.1145/3579605,Explanations Can Reduce Overreliance on AI Systems During Decision-Making,Helena Vasconcelos; Matthew Jörke; Madeleine Grunde-McLaughlin et al.,2023,Proceedings of the ACM on Human-Computer Interaction (CSCW),peer-reviewed,full text of the arXiv preprint version (arXiv:2212.06823) of the same work,"Five experiments manipulating task difficulty, explanation difficulty and monetary incentives in a maze task with a simulated AI",731 across 5 studies,Adults not explicitly stated in retrieved text; online participants,Simulated AI predictions with or without explanations in a maze-exit decision task,"Overreliance, defined by the authors as 'the percentage of decisions when a human decision maker accepts an AI's incorrect prediction'; Need for Cognition; cognitive effort discounting utility","Authors argue 'people strategically choose whether or not to engage with an AI explanation, demonstrating empirically that there are scenarios where AI explanations reduce overreliance', and that 'some of the null effects found in literature could be due in part to the explanation not sufficiently reducing the costs of verifying the AI's prediction.'",not reported in retrieved text (headline numeric effects not isolated in the retrieved text),Single session,"Authors: 'Task: As previously mentioned, our task was in a very controlled, low-stakes, maze-solving environment.'",causal (randomised) — cost/benefit manipulations across five studies,c,"Simulated (not real) AI; artificial low-stakes maze task; benefit is conditional on cost manipulation, not a general effect"
10.48550/arxiv.2102.09692,https://doi.org/10.48550/arxiv.2102.09692,To Trust or to Think: Cognitive Forcing Functions Can Reduce Overreliance on AI in AI-assisted Decision-making,Zana Buçinca; Maja Barbara Malaya; Krzysztof Z. Gajos,2021,"arXiv preprint of the paper published in Proc. ACM Hum.-Comput. Interact. 5, CSCW1, Article 188 (April 2021)",preprint (of a peer-reviewed CSCW article; DOI queried is the arXiv DOI),full text (arXiv PDF),"Between-subjects experiment comparing three cognitive-forcing designs, two simple explainable-AI approaches, and a no-AI baseline",199 participants on Amazon Mechanical Turk,Adults not explicitly stated in retrieved text; Amazon Mechanical Turk workers,"AI decision-support recommendations with explanations, delivered under interaction designs that force deliberation before seeing the AI answer",Overreliance on incorrect AI recommendations; subjective ratings of the designs; Need for Cognition as moderator,"Authors: 'cognitive forcing significantly reduced overreliance compared to the simple explainable AI approaches. However, there was a trade-off: people assigned the least favorable subjective ratings to the designs that reduced the overreliance the most.' They also report 'cognitive forcing interventions benefited participants higher in Need for Cognition more', concluding 'human cognitive motivation moderates the effectiveness of explainable AI solutions.'",not reported in retrieved text (numeric test statistics not isolated in the retrieved text),Single session,Authors: 'A key limitation of our work is that it was conducted in the context of a single non-critical decision-making task.',causal (randomised),c,Preprint DOI; benefit comes with an explicit usability cost and is larger for participants already high in Need for Cognition (an equity caveat the authors raise themselves)
10.1126/science.adh2586,https://doi.org/10.1126/science.adh2586,Experimental evidence on the productivity effects of generative artificial intelligence,Shakked Noy; Whitney Zhang,2023,Science,peer-reviewed,abstract only (PubMed abstract; no PMC full text retrieved),"Preregistered randomised online experiment with incentivised, occupation-specific writing tasks; follow-ups at 2 weeks and 2 months",453 college-educated professionals,ADULTS — 453 college-educated professionals,Random exposure to ChatGPT for a mid-level professional writing task,Time taken; human-graded output quality; between-worker inequality in output quality; later self-reported real-job adoption,Authors: 'ChatGPT substantially raised productivity: The average time taken decreased by 40% and output quality rose by 18%. Inequality between workers decreased'.,'average time taken decreased by 40% and output quality rose by 18%'; adoption '2 times as likely ... 2 weeks after' and '1.6 times as likely 2 months after'; no CI or p-value in retrieved text,Single session; self-reported adoption followed up at 2 weeks and 2 months,not reported in retrieved text,causal (randomised),d (also c),"Abstract only; the outcome is writing productivity/quality, not a direct cognitive measure; 'inequality between workers decreased' is the compensatory-use evidence and no CI is given for it in the retrieved text"
10.1093/qje/qjae044,https://doi.org/10.1093/qje/qjae044,Generative AI at Work,Erik Brynjolfsson; Danielle Li; Lindsey Raymond,2024,The Quarterly Journal of Economics,peer-reviewed,"abstract only (abstract of the arXiv working-paper version, arXiv:2304.11771; published QJE text not retrievable)",Observational study of a staggered rollout of an AI conversational assistant across customer-support agents (staggered-adoption design),"5,172 customer support agents",ADULTS — working customer-support agents (including international agents),Generative-AI-based conversational assistant deployed in live customer-support work,Issues resolved per hour; output quality; measures of worker learning and English fluency; customer sentiment,"Authors: 'Access to AI assistance increases worker productivity ... by 15% on average, with substantial heterogeneity across workers. Less experienced and lower-skilled workers improve both the speed and quality of their output while the most experienced and highest-skilled workers see small gains in speed and small declines in quality.' They add 'evidence that AI assistance facilitates worker learning and improves English fluency, particularly among international agents.'","'increases worker productivity, as measured by issues resolved per hour, by 15% on average'; no CI or p-value in retrieved text",not reported in retrieved text (staggered deployment period not stated in the retrieved abstract),not reported in retrieved text,"associational/correlational — staggered-adoption field data, not a randomised experiment (the retrieved text describes a 'staggered introduction', not random assignment)",d,"Abstract only, from the working-paper version; not randomised; outcomes are workplace productivity and fluency proxies, not cognitive tests; learning claim is indirect"
10.3389/fresc.2025.1600145,https://doi.org/10.3389/fresc.2025.1600145,Harnessing AI for aphasia: a case report on ChatGPT's role in supporting written communication,Avery K. Allen; Christine Brennan; Christina Riseman et al.,2025,Frontiers in Rehabilitation Sciences,peer-reviewed,full text (PMC12163031),Single-case report (n=1); writing samples with and without ChatGPT across ten weekly clinic sessions,"1 (single adult with chronic aphasia, eight years post-stroke)",ADULTS — one adult with chronic aphasia,"ChatGPT-assisted editing of self-generated written content, guided by a visual flow chart and structured prompts, with clinician prompting and modelling","Sentence count, syntactic complexity, error counts in writing samples; Likert and open-ended surveys of attitudes toward writing","Authors: 'When using ChatGPT, the patient produced more sentences with fewer errors, while self-written samples showed reduced total errors but decreased sentence production and increased sentence length and syntactic complexity.' They conclude the case 'highlights how AI tools can enhance written communication and promote participation in meaningful activities for individuals with aphasia, especially those with prior experience using technology.'","Descriptive error rates only, e.g. '17 (5.9%) 1/32 (3.1%)' comparing first five vs final five sessions; no inferential statistics","Ten weekly 60-minute sessions over 14 weeks, plus self-reported continued use at 1 year","Authors: 'Since the patient was eight years post-stroke with chronic aphasia, the improvement observed is unlikely due to spontaneous recovery.'",descriptive/observational (single-case report),d,n=1 case report — lowest evidence tier here; no control condition; outcome partly self-reported; included because it is nearly the only adult-impairment study with a measured language outcome that this sweep surfaced
