doi,cite,axis,direction,veracity,synthesis,timing,url,venue,n
10.1073/pnas.2426153122,Zöller et al. 2025,b,positive,normal,False,with,https://doi.org/10.1073/pnas.2426153122,Proceedings of the National Academy of Sciences,"2,133 medical cases with 40,762 differential diagnoses from 3,669 physicians (1,370 attending physicians, 139 fellows, 2,160 resident physicians); additionally 11,772 diagnoses from 1,037 medical students; for hybrid human-LLM ensemble analyses, 1,928 cases (those diagnosed by ≥5 physicians) were used; 5 LLMs tested (Anthropic Claude 3 Opus, Google Gemini Pro 1.0, Meta Llama 2 70B, Mistral Large, OpenAI GPT-4)"
10.1093/pnasnexus/pgaf316,Melumad et al. 2025,both,negative,normal,False,after,https://doi.org/10.1093/pnasnexus/pgaf316,PNAS Nexus,"Total across 7 experiments N=10,426 (as stated in intro). Exp 1: 1,136 recruited, 1,104 analyzed after exclusions (Google vs ChatGPT arms). Exp 2: 2,016 recruited, 1,979 analyzed (Google vs ChatGPT arms). Exp 3: 253 recruited, 250 analyzed (Google-standard vs Google-LLM/AI Overview arms). Exp 4: 1,501 recruited, 1,493 analyzed (recipients rating advice from 125 Google-link texts vs 125 AI Overview texts from Exp 3). Additional replications: n=2,402 (healthy lifestyle topic, 3 arms incl. LLM+web links), n=1,976 (financial scam topic), n=1,258 (conceptual replication of Exp 4)"
10.1093/pnasnexus/pgaf325,Boissin et al. 2025,b,positive,normal,False,after,https://doi.org/10.1093/pnasnexus/pgaf325,PNAS Nexus,955
10.1093/qje/qjae044,Brynjolfsson et al. 2024,a,mixed,normal,False,with,https://doi.org/10.1093/qje/qjae044,The Quarterly Journal of Economics,"5,172 customer support agents"
10.1111/bjet.13544,Fan et al. 2024,a,mixed,normal,False,after,https://doi.org/10.1111/bjet.13544,British Journal of Educational Technology,117 university students total; per-arm Ns not reported in retrieved text
10.1111/bjet.13591,Urban et al. 2025,a,mixed,normal,False,with,https://doi.org/10.1111/bjet.13591,British Journal of Educational Technology,N = 98 total; independent writing condition N = 49; ChatGPT-assisted condition N = 49
10.1126/sciadv.adn5290,Doshi et al. 2024,a,positive,normal,False,with,https://doi.org/10.1126/sciadv.adn5290,Science Advances,"293 writers (recruited from 500 Prolific participants); 600 evaluators; 3,519 evaluations"
10.1126/science.adh2586,Noy et al. 2023,a,positive,normal,False,with,https://doi.org/10.1126/science.adh2586,Science,453 college-educated professionals
10.1126/science.adq1814,Costello et al. 2024,a,positive,normal,False,after,https://doi.org/10.1126/science.adq1814,Science,"2,190 conspiracy believers"
10.1126/science.aea3884,Hackenburg et al. 2025,b,negative,normal,False,after,https://doi.org/10.1126/science.aea3884,Science,"76,977 participants"
10.1145/3449287,Buçinca et al. 2021,b,mixed,sabotaged,False,with,https://doi.org/10.1145/3449287,Proceedings of the ACM on Human-Computer Interaction,"Total recruited N=260; analyzed N=199 participants (49 excluded for near-zero accuracy/off-plate selections, 12 excluded as exploratory-only conditions); per-condition Ns not stated, but on incorrect-model-prediction analyses use unit of instances: overall performance chi-square N=663 (task instances), carb source detection chi-square N=663; NFC subgroup analyses: high-NFC instances N=357, low-NFC instances N=306"
10.1145/3544548.3581196,Jakesch et al. 2023,a,negative,sabotaged,False,after,https://doi.org/10.1145/3544548.3581196,CHI Conference on Human Factors in Computing Systems,"1,506 participants; 500 independent judges"
10.1145/3579605,Vasconcelos et al. 2023,b,mixed,sabotaged,False,with,https://doi.org/10.1145/3579605,Proceedings of the ACM on Human-Computer Interaction,N = 731 total across 5 studies; per-arm/per-study Ns not reported in retrieved text
10.1145/3635636.3656204,Anderson et al. 2024,a,mixed,normal,False,with,https://doi.org/10.1145/3635636.3656204,ACM Creativity and Cognition (C&C '24),36 participants
10.1145/3706598.3713408,Danry et al. 2025,b,negative,sabotaged,False,with,https://doi.org/10.1145/3706598.3713408,CHI Conference on Human Factors in Computing Systems,"589 participants; 11,780 observations"
10.1145/3706598.3713778,Lee et al. 2025,unclassifiable,unclassifiable,normal,False,with,https://doi.org/10.1145/3706598.3713778,nan,319 knowledge workers surveyed; 936 first-hand examples of GenAI use shared
10.1145/3715928.3737481,Ashkinaze et al. 2025,a,null,normal,False,with,https://doi.org/10.1145/3715928.3737481,ACM Conference on Economics and Computation (EC '25),"800+ participants, 40+ countries"
10.1145/3834580.3838741,Wu et al. 2026,a,negative,normal,False,after,https://doi.org/10.1145/3834580.3838741,nan,not reported in retrieved text
10.1148/radiol.222176,Dratsch et al. 2023,b,negative,sabotaged,False,with,https://doi.org/10.1148/radiol.222176,Radiology,"27 radiologists (inexperienced, moderately experienced, very experienced subgroups); each read 50 mammograms (10 training + 40 test, 12 with incorrect AI suggestion); unit for performance analysis is percentage of mammograms correctly rated, not participants"
10.1186/s12909-024-06399-7,Brügge et al. 2024,b,positive,normal,False,with,https://doi.org/10.1186/s12909-024-06399-7,BMC Medical Education,"Total N=21 analyzed (24 randomized, 29 initially agreed, 5 dropped before randomization, 3 excluded post-randomization for technical/data issues); feedback group n=10, control group n=11"
10.1287/orsc.2025.21838,Dell’Acqua et al. 2026,both,mixed,normal,False,with,https://doi.org/10.1287/orsc.2025.21838,Organization Science,758 knowledge workers total; 18 realistic knowledge tasks (within frontier) plus 1 complex managerial task (outside frontier) per subject; per-arm Ns not reported in retrieved text
10.1371/journal.pone.0304013,Pardos et al. 2024,a,positive,normal,False,after,https://doi.org/10.1371/journal.pone.0304013,PLoS ONE,"Total N = 274 participants after exclusions (Control n=90, human-tutor hints n=86, ChatGPT hints n=98); recruited 394, 120 excluded. RQ1 hint-quality analysis unit: 75 problems (questions) ChatGPT was prompted to generate hints for, rated by 6 undergraduate raters"
10.3389/fnhum.2016.00542,Goodyear et al. 2016,b,negative,sabotaged,False,with,https://doi.org/10.3389/fnhum.2016.00542,Frontiers in Human Neuroscience,"Three studies: normative rating study n=23; behavioral study n=10; fMRI study n=24 total (human agent group n=12, machine agent group n=12)"
10.3389/fpsyg.2025.1508383,Wang et al. 2025,a,positive,normal,False,after,https://doi.org/10.3389/fpsyg.2025.1508383,Frontiers in Psychology,"Total N = 64 participants; experimental group n = 32 (17 females, 15 males); control group n = 32 (16 females, 16 males)"
10.3389/fpsyg.2026.1878629,Zhu et al. 2026,b,mixed,normal,False,after,https://doi.org/10.3389/fpsyg.2026.1878629,Frontiers in Psychology,"Final analytic sample N=589 (of 742 at T1; 672 completed T2; 631 completed T3); subgroup: students n=516, early-career workers n=73"
10.3389/fpsyg.2026.1910545,Liu et al. 2026,b,mixed,normal,False,after,https://doi.org/10.3389/fpsyg.2026.1910545,Frontiers in Psychology,900 randomized; 659 in primary analysis; not reported in retrieved text per-arm Ns
10.3389/fresc.2025.1600145,Allen et al. 2025,a,mixed,normal,False,with,https://doi.org/10.3389/fresc.2025.1600145,Frontiers in Rehabilitation Sciences,"1 (single adult with chronic aphasia, eight years post-stroke)"
10.3390/arm94040048,Marchi et al. 2026,unclassifiable,unclassifiable,normal,False,with,https://doi.org/10.3390/arm94040048,Advances in respiratory medicine,"118 participants (response rate 78.7% of 150 invited); 12 respondents each from 8 countries, 11 each from 2 countries (Morocco and Spain)"
10.3390/brainsci14101032,Lv et al. 2024,unclassifiable,unclassifiable,normal,False,with,https://doi.org/10.3390/brainsci14101032,Brain Sciences,"Participants: enrolled 30, excluded 6 (4 for electrode damage, 2 for ERP artifacts >25%), final valid N=24 (11 males, 13 females); within-subjects design so all 24 completed all 4 conditions across 200 trials (5 sets of 40 trials). Material pre-test unit: 264 ratings (task type differentiation, n=264)."
10.3390/data10110172,Gerlich 2025,b,mixed,normal,False,with,https://doi.org/10.3390/data10110172,Data,n = 150 participants (total); per-arm Ns not reported in retrieved text; 450 evaluated responses (not a participant count)
10.3390/soc15010006,Gerlich 2025,b,negative,normal,False,with,https://doi.org/10.3390/soc15010006,Societies,666 participants
10.3758/s13423-022-02139-4,Gilbert et al. 2022,b,positive,unclassifiable,True,n/a,https://doi.org/10.3758/s13423-022-02139-4,Psychonomic Bulletin & Review,"not reported in retrieved text (pooled synthesis of multiple studies, each with own N; no aggregate k or total N given in supplied text)"
10.48550/arxiv.2309.05196,Padmakumar et al. 2023,a,negative,normal,False,with,https://doi.org/10.48550/arxiv.2309.05196,arXiv (preprint; subsequently presented at ICLR 2024 per the authors' listing — publication status not confirmed in retrieved record),38 writers recruited from Upwork; 100 essays per group on 10 topics
10.48550/arxiv.2408.04681,Chan et al. 2024,b,negative,sabotaged,False,after,https://arxiv.org/abs/2408.04681,arXiv (Cornell University),"N=200 participants Phase 1 (50 per condition); Phase 2 N=194 (control 49, survey 48, pre-scripted 48, generative 49); 39 additional participants excluded for failing attention checks in Phase 1 survey"
10.48550/arxiv.2409.09047,Lehmann et al. 2024,a,mixed,normal,False,after,https://arxiv.org/abs/2409.09047,arXiv (Cornell University),"Study 1: N=113 students (56 IS course, 57 BA course), unit of analysis student–question, 6,775 student–question observations total (6,594 used in main models). Study 2: 108 subjects recruited, 107 analyzed (54 vs 53 approx. per control/treatment, exact split not stated). Study 3: 72 enrolled, 69 analyzed after exclusions. Combined exploratory sample (Studies 2+3 treated/all subjects): up to 176 observations in heterogeneous-effects and perceived-learning regressions; 94 observations in usage-behavior regressions (treated subjects only)."
10.48550/arxiv.2409.16708,Fernandes et al. 2024,both,mixed,normal,False,with,https://arxiv.org/abs/2409.16708,arXiv (Cornell University),"Study 1: N=246 analyzed (recruited 274, excluded 28) human participants, unit = participants; also compared to Jansen et al. no-AI historical sample n=3543. Study 2: N=452 analyzed (recruited 500, excluded 48): AI group n=245, no-AI group n=207."
10.48550/arxiv.2506.08872,Kosmyna et al. 2025,both,negative,normal,False,after,https://arxiv.org/abs/2506.08872,arXiv (Cornell University),"Total N=60 recruited, 55 completed ≥3 sessions, 54 analyzed (18 per group for Sessions 1-3); 18 participants completed Session 4 (subset reassigned to LLM-to-Brain and Brain-to-LLM subgroups)."
10.48550/arxiv.2507.09089,Becker et al. 2025,a,negative,normal,False,with,https://arxiv.org/abs/2507.09089,arXiv (Cornell University),"16 developers completed 246 tasks/issues total (unit of analysis is issues: 136 issues completed under AI-allowed, 110 under AI-disallowed); screen recording sub-analyses used subsets of 128 recordings (143 hours) filtered to 74 recordings (84 hours) for main activity-label analysis, and a further subset of 44 valid labeled AI-allowed recordings for some statistics; expert forecast sample: 34 economics experts and 54 machine learning experts"
