canonical_id,citation,title,evidence_view,evidence_role,verification_status,proposed_question,proposed_subquestion,relationship_to_question,prior_map_placement,placement_status,review_note
doi:10.48550/arxiv.2409.16708,Fernandes et al. 2024,Performance and Metacognition Disconnect when Reasoning in Human-AI Interaction,ai_studies,primary_empirical,content verified in analysis 20,Can you tell what AI is doing to your thinking?,Does felt benefit match measured performance?,direct evidence,"Can you tell what AI is doing to your thinking? || How well calibrated are people, when measured?",audited 2026-09-23,Directly compares performance estimates and trial-level confidence with achieved LSAT accuracy under AI use.
doi:10.48550/arxiv.2507.09089,Becker et al. 2025,Measuring the Impact of Early-2025 AI on Experienced Open-Source Developer Productivity,ai_studies,primary_empirical,content verified in analyses 11 and 19,Can you tell what AI is doing to your thinking?,Does felt benefit match measured performance?,direct evidence,Does AI advice make judgment better or worse? || Does felt benefit match real benefit?,audited 2026-09-23,Moved from judgment: developers expected and later believed AI sped them up although randomized issue assignment found a 19 percent slowdown.
doi:10.1111/bjet.13591,Urban et al. 2025,“ ChatGPT can make mistakes. Check important info.” Epistemic beliefs and metacognitive accuracy in students' integration of ChatGPT content into academic writing,ai_studies,primary_empirical,content verified in analysis 20,Can you tell what AI is doing to your thinking?,Does metacognitive accuracy affect how people use AI output?,direct evidence,Can you tell what AI is doing to your thinking? || What happens when reasoning is scored instead of asked about?,audited 2026-09-23,Metacognitive bias and epistemic beliefs predict which correct and incorrect claims students integrate into writing.
doi:10.3390/soc15010006,Gerlich 2025,AI Tools in Society: Impacts on Cognitive Offloading and the Future of Critical Thinking,ai_studies,primary_empirical,content verified with published correction in analysis 20,Can you tell what AI is doing to your thinking?,What do people report about their own thinking?,direct evidence,Can you tell what AI is doing to your thinking? || What do people say about their own critical thinking?,audited 2026-09-23,Cross-sectional survey measures self-reported AI use offloading and critical thinking; a published correction replaces a duplicated table.
doi:10.1145/3706598.3713778,Lee et al. 2025,The Impact of Generative AI on Critical Thinking: Self-Reported Reductions in Cognitive Effort and Confidence Effects From a Survey of Knowledge Workers,ai_studies,primary_empirical,content verified in analysis 20,Can you tell what AI is doing to your thinking?,What do people report about their own thinking?,direct evidence,Can you tell what AI is doing to your thinking? || What do people say about their own critical thinking?,audited 2026-09-23,Knowledge workers describe when they engaged critical thinking and how much effort it required across self-reported work examples.
doi:10.3389/fpsyg.2026.1878629,Zhu et al. 2026,Not all cognitive offloading is equal: distinguishing dependent and autonomous offloading to generative AI,ai_studies,primary_empirical,content verified in analyses 16 and 20,Can you tell what AI is doing to your thinking?,What do people report about their own thinking?,direct evidence,Does AI change what you remember? || Does self-reported offloading split into types?,audited 2026-09-23,Three-wave survey distinguishes self-reported dependent and autonomous offloading but has no behavioral cognition measure.
doi:10.1007/s43681-026-01005-6,Krügel et al. 2026,Justification optional: ChatGPT's advice can still influence human judgments about moral dilemmas,ai_studies,primary_empirical,content verified in analysis 19,Does AI advice make judgment better or worse?,Can AI advice shift moral judgment?,direct evidence,,audited 2026-09-23,Preregistered experiment found that advice shifted trolley-dilemma judgments similarly whether attributed to ChatGPT or a human moral advisor.
doi:10.1145/3449287,Buçinca et al. 2021,To Trust or to Think,ai_studies,primary_empirical,content verified in analysis 19,Does AI advice make judgment better or worse?,Can interface design improve calibrated reliance?,direct evidence,Does AI advice make judgment better or worse? || Can interface design reduce overreliance?,audited 2026-09-23,Cognitive forcing reduced overreliance but had usability costs and did not make human-AI teams outperform the AI alone.
doi:10.1145/3579605,Vasconcelos et al. 2023,Explanations Can Reduce Overreliance on AI Systems During Decision-Making,ai_studies,primary_empirical,content verified in analysis 19,Does AI advice make judgment better or worse?,Can interface design improve calibrated reliance?,direct evidence,Does AI advice make judgment better or worse? || Can interface design reduce overreliance?,audited 2026-09-23,Five experiments show explanations reduce overreliance only when they make verification worth the effort.
doi:10.1145/3706598.3713133,Li et al. 2025,From Text to Trust: Empowering AI-assisted Decision Making with Adaptive LLM-powered Analysis,ai_studies,primary_empirical,content verified and DOI corrected in analysis 19,Does AI advice make judgment better or worse?,Can interface design improve calibrated reliance?,direct evidence,,audited 2026-09-23,Static LLM analysis did not help; adaptive selection improved accuracy and reduced overreliance in controlled tasks.
doi:arxiv:2604.03237,Cohen et al. 2026,Supporting Calibrated Reliance in Human-AI Collaboration: Different Strategies for Different Tasks,ai_studies,primary_empirical,content verified in analysis 19,Does AI advice make judgment better or worse?,Can interface design improve calibrated reliance?,direct evidence,,audited 2026-09-23,Three studies show the value of explanations depends on the task and that error recovery remains incomplete.
doi:10.1038/s41562-024-02024-1,Vaccaro et al. 2024,When combinations of humans and AI are useful: A systematic review and meta-analysis,ai_studies,systematic_review_or_meta_analysis,content verified in analysis 19,Does AI advice make judgment better or worse?,Do human-AI teams outperform humans or AI alone?,evidence synthesis or quality context,Does AI advice make judgment better or worse? || Do human+AI teams beat either alone?,audited 2026-09-23,Meta-analysis separates improvement over humans alone from synergy over the stronger of human or AI.
doi:10.1073/pnas.2426153122,Zöller et al. 2025,Human–AI collectives most accurately diagnose clinical vignettes,ai_studies,primary_empirical,content verified in analysis 19,Does AI advice make judgment better or worse?,Do human-AI teams outperform humans or AI alone?,direct evidence,Does AI advice make judgment better or worse? || Do human+AI teams beat either alone?,audited 2026-09-23,Retrospective ensemble analysis shows complementarity under mathematical aggregation rather than direct interactive assistance.
doi:10.1001/jamanetworkopen.2024.40969,Goh et al. 2024,Large Language Model Influence on Diagnostic Reasoning,ai_studies,primary_empirical,content verified in analysis 19,Does AI advice make judgment better or worse?,Does AI improve clinical judgment?,direct evidence,Does AI advice make judgment better or worse? || Do LLMs actually help doctors?,audited 2026-09-23,Randomized physician study found no diagnostic-reasoning benefit from LLM access while the LLM-alone comparison scored higher than control.
doi:10.1038/s41591-024-03456-y,Goh et al. 2025,GPT-4 assistance for improvement of physician performance on patient care tasks: a randomized controlled trial,ai_studies,primary_empirical,content verified in analysis 19,Does AI advice make judgment better or worse?,Does AI improve clinical judgment?,direct evidence,Does AI advice make judgment better or worse? || Do LLMs actually help doctors?,audited 2026-09-23,Randomized physician study found improved management-reasoning scores with GPT-4 assistance.
doi:10.1038/s41591-025-04074-y,Bean et al. 2026,Reliability of LLMs as medical assistants for the general public: a randomized preregistered study,ai_studies,primary_empirical,content verified in analysis 19,Does AI advice make judgment better or worse?,Does AI improve clinical judgment?,direct evidence,,audited 2026-09-23,Randomized public self-assessment study found strong model-alone performance but no benefit when people used the models.
doi:10.1186/s40561-024-00316-7,Zhai et al. 2024,The effects of over-reliance on AI dialogue systems on students' cognitive abilities: a systematic review,ai_studies,systematic_review_or_meta_analysis,content verified in analysis 19,Does AI advice make judgment better or worse?,What does the broader evidence say about overreliance?,evidence synthesis or quality context,,audited 2026-09-23,Systematic review of 14 student-focused articles offers a broad warning but no pooled effect or total participant count in the retrieved text.
doi:10.1038/s41746-021-00385-9,Gaube et al. 2021,Do as AI say: susceptibility in deployment of clinical decision-aids,ai_studies,primary_empirical,content verified in analysis 19,Does AI advice make judgment better or worse?,What happens when AI advice is wrong?,direct evidence,Does AI advice make judgment better or worse? || What happens when the AI is wrong?,audited 2026-09-23,Physicians' accuracy rose with correct advice and fell with inaccurate advice regardless of whether it was labelled AI or human.
title:falling-asleep-at-the-wheel-human-ai-collaboration-in-a-field-experiment-on-hr-recruiters,Dell'Acqua 2022,Falling Asleep at the Wheel: Human/AI Collaboration in a Field Experiment on HR Recruiters,ai_studies,primary_empirical,content verified in analysis 19,Does AI advice make judgment better or worse?,What happens when AI advice is wrong?,direct evidence,,audited 2026-09-23,Higher-quality AI reduced recruiters' effort and produced worse human assessments than lower-quality AI.
doi:10.1148/radiol.222176,Dratsch et al. 2023,Automation Bias in Mammography: The Impact of Artificial Intelligence BI-RADS Suggestions on Reader Performance,ai_studies,primary_empirical,content verified in analysis 19,Does AI advice make judgment better or worse?,What happens when AI advice is wrong?,direct evidence,Does AI advice make judgment better or worse? || What happens when the AI is wrong?,audited 2026-09-23,Incorrect purported-AI suggestions sharply reduced mammography accuracy across experience levels.
doi:10.1001/jama.2023.22295,Jabbour et al. 2023,Measuring the Impact of AI in the Diagnosis of Hospitalized Patients,ai_studies,primary_empirical,content verified in analysis 19,Does AI advice make judgment better or worse?,What happens when AI advice is wrong?,direct evidence,Does AI advice make judgment better or worse? || What happens when the AI is wrong?,audited 2026-09-23,Standard AI improved diagnostic accuracy while systematically biased AI reduced it; image explanations did not remove the harm.
doi:10.1016/j.chb.2024.108352,Klingbeil et al. 2024,Trust and reliance on AI — An experimental study on the extent and costs of overreliance on AI,ai_studies,primary_empirical,content verified in analysis 19,Does AI advice make judgment better or worse?,What happens when AI advice is wrong?,direct evidence,,audited 2026-09-23,Incentivized experiment found overreliance on advice labelled as AI even when it conflicted with contextual information.
doi:10.1287/orsc.2025.21838,Dell’Acqua et al. 2026,Navigating the Jagged Technological Frontier: Field Experimental Evidence of the Effects of Artificial Intelligence on Knowledge Worker Productivity and Quality,ai_studies,primary_empirical,content verified in analysis 19,Does AI advice make judgment better or worse?,What happens when AI advice is wrong?,direct evidence,Does AI advice make judgment better or worse? || Does felt benefit match real benefit?,audited 2026-09-23,Field experiment shows gains on tasks inside the model's capability frontier and worse correctness outside it.
title:the-effects-of-generative-ai-on-high-skilled-work,Cui et al. 2025,The Effects of Generative AI on High-Skilled Work,ai_studies,primary_empirical,content verified in analysis 18,Does AI change the skills you build and retain?,Can productivity gains tell us whether skill changed?,direct evidence,,audited 2026-09-23,Three large workplace experiments measured completed tasks; they establish a productivity effect and leave skill formation or retention unanswered.
doi:10.1145/3544548.3580919,Kazemitabaar et al. 2023,Studying the Effect of AI Code Generators on Supporting Novice Learners in Introductory Programming,ai_studies,primary_empirical,content verified in analysis 18,Does AI change the skills you build and retain?,Does AI help or hinder new skill development?,direct evidence,,audited 2026-09-23,Novice programming experiment with unaided tests one day and one week after training; this is skill acquisition rather than loss of an established skill.
doi:arxiv:2502.02880,Lira et al. 2025,Coach Not Crutch: AI Assistance Can Enhance Rather Than Hinder Skill Development,ai_studies,primary_empirical,content verified in analysis 18,Does AI change the skills you build and retain?,Does AI help or hinder new skill development?,direct evidence,,audited 2026-09-23,Five preregistered studies of adult writing practice with an unaided test one day later.
doi:arxiv:2601.20245,Shen & Tamkin 2026,How AI Impacts Skill Formation,ai_studies,primary_empirical,content verified in analysis 18,Does AI change the skills you build and retain?,Does AI help or hinder new skill development?,direct evidence,,audited 2026-09-23,Randomized evidence on learning an unfamiliar programming library; the outcome is new skill formation.
doi:10.1145/3834580.3838741,Wu et al. 2026,How AI Assistance Affects Human Skill Development: A Study of Learning with Logic Puzzles,ai_studies,primary_empirical,content verified in analysis 18,Does AI change the skills you build and retain?,Does AI help or hinder new skill development?,direct evidence,Does AI erode skill you already have? || Does it show up in a controlled task?,audited 2026-09-23,Controlled logic-puzzle study with an immediate post-assistance phase; the strongest skill-development associations depend on participants' chosen AI use and independent effort.
doi:10.1016/s2468-1253(25)00133-5,Budzyń et al. 2025,"Endoscopist deskilling risk after exposure to artificial intelligence in colonoscopy: a multicentre, observational study",ai_studies,primary_empirical,content verified in analysis 18,Does AI change the skills you build and retain?,Has AI changed established professional skill?,direct evidence,Does AI erode skill you already have? || Has anyone seen it in real professional practice?,audited 2026-09-23,Observational before-and-after evidence from 1443 colonoscopies performed by 19 endoscopists; outcome was measured without AI after workplace exposure.
doi:10.3390/arm94040048,Marchi et al. 2026,Artificial Intelligence-Induced Deskilling in Interventional Pulmonology: An International Cross-Sectional Survey on Risk Perception and Mitigation Strategies,ai_studies,primary_empirical,content verified in analysis 18,Does AI change the skills you build and retain?,What do professionals perceive?,direct evidence,Does AI erode skill you already have? || How worried are practitioners?,audited 2026-09-23,Survey of interventional pulmonologists' concerns and preferred safeguards; it does not measure skill performance.
doi:10.1007/s10796-026-10804-5,Subramanya et al. 2026,"The Complementarity Paradox: Human-AI Collaboration, Overreliance, and Skill Decline in Entrepreneurial Contexts",ai_studies,primary_empirical,content verified in analysis 18,Does AI change the skills you build and retain?,What do professionals perceive?,direct evidence,Does AI erode skill you already have? || How worried are practitioners?,audited 2026-09-23,Two-wave survey of perceived dependence and perceived skill atrophy; it contains no behavioral skill test.
doi:10.1186/s41235-024-00572-8,Macnamara et al. 2024,Does using artificial intelligence assistance accelerate skill decay and hinder skill development without performers’ awareness?,ai_studies,theory,content verified in analysis 18,Does AI change the skills you build and retain?,What do reviews and theory predict?,evidence synthesis or quality context,,audited 2026-09-23,Theory paper that separates expert skill decay from interference with new skill development; it contains no original data.
doi:10.1016/j.tics.2026.06.004,Cash et al. 2026,Is AI making us stupid?,ai_studies,theory,content verified and moved to skill in analysis 22,Does AI change the skills you build and retain?,What do reviews and theory predict?,evidence synthesis or quality context,,audited 2026-09-23,Moved from benefit: the three-page perspective reviews risks to skill acquisition and retention and reports no original evidence of cognitive improvement.
doi:10.1186/s12909-024-06399-7,Brügge et al. 2024,Large language models improve clinical decision making of medical students through patient simulation and structured feedback: a randomized controlled trial,ai_studies,primary_empirical,maintained Claude Science extraction,Does AI change what you learn?,Can purpose-built AI tutoring improve immediate learning?,direct evidence,Does AI change what you learn? || Do purpose-built AI tutors beat normal teaching?,audited 2026-09-23,Small randomized trial of structured AI feedback across four simulated-patient scenarios; comparator also used the AI patient simulation.
doi:10.1371/journal.pone.0304013,Pardos et al. 2024,ChatGPT-generated help produces learning gains equivalent to human tutor-authored help on mathematics skills,ai_studies,primary_empirical,maintained Claude Science extraction,Does AI change what you learn?,Can purpose-built AI tutoring improve immediate learning?,direct evidence,Does AI change what you learn? || Do purpose-built AI tutors beat normal teaching?,audited 2026-09-23,Randomized immediate pre-post evidence comparing ChatGPT-generated hints human-authored hints and no hints.
doi:10.1038/s41598-025-97652-6,Kestin et al. 2025,AI tutoring outperforms in-class active learning: an RCT introducing a novel research-based design in an authentic educational setting,ai_studies,primary_empirical,maintained Claude Science extraction,Does AI change what you learn?,Can purpose-built AI tutoring improve immediate learning?,direct evidence,Does AI change what you learn? || Do purpose-built AI tutors beat normal teaching?,audited 2026-09-23,Short crossover comparison of an expert-designed GPT-4 tutor with in-class active learning; no delayed test.
doi:10.3389/feduc.2025.1506752,Etkin et al. 2025,Differential effects of GPT-based tools on comprehension,ai_studies,primary_empirical,content verified in analysis 17,Does AI change what you learn?,Does the same AI tool help every learner?,direct evidence,,audited 2026-09-23,Preregistered crossover showing opposite comprehension effects for lower and higher baseline performers in a single session.
doi:10.1111/bjet.13544,Fan et al. 2024,"Beware of metacognitive laziness: Effects of generative artificial intelligence on learning motivation, processes, and performance",ai_studies,primary_empirical,maintained Claude Science extraction,Does AI change what you learn?,Does workflow design change what people learn?,direct evidence,Does AI change what you learn? || Does it change how people study?,audited 2026-09-23,ChatGPT improved essay scores but not knowledge gain or transfer; process traces differed across support conditions.
doi:10.48550/arxiv.2409.09047,Lehmann et al. 2024,AI Meets the Classroom: When Do Large Language Models Harm Learning?,ai_studies,primary_empirical,maintained Claude Science extraction,Does AI change what you learn?,Does workflow design change what people learn?,direct evidence,Does AI change what you learn? || Does unguarded access help or hurt?,audited 2026-09-23,Overall randomized effects were null; exploratory results distinguish substitutive solution-seeking from complementary explanation-seeking.
doi:10.1073/pnas.2422633122,Bastani et al. 2025,Generative AI without guardrails can harm learning: Evidence from high school mathematics,ai_studies,primary_empirical,maintained Claude Science extraction,Does AI change what you learn?,Does workflow design change what people learn?,direct evidence,Does AI change what you learn? || Does unguarded access help or hurt?,audited 2026-09-23,Unguarded GPT improved assisted practice and reduced unaided exam performance; tutoring guardrails removed the negative exam effect.
doi:10.3389/fpsyg.2026.1910545,Liu et al. 2026,Borrowed or kept? How self-generation-first and direct-adoption AI workflows shape immediate unaided reasoning,ai_studies,primary_empirical,maintained Claude Science extraction,Does AI change what you learn?,Does workflow design change what people learn?,direct evidence,Does AI change what you learn? || Does the order of the workflow matter?,audited 2026-09-23,Self-generation-first preserved immediate unaided reasoning relative to direct adoption; the outcome was measured 15 to 20 minutes later.
doi:10.1002/jcal.70322,Melanou et al. 2026,Generative AI and Learning Dynamics in Higher Education: A Longitudinal Empirical Study,ai_studies,primary_empirical,content verified and moved to learning in analysis 20,Does AI change what you learn?,Does workflow design change what people learn?,direct evidence,Can you tell what AI is doing to your thinking? || What happens when reasoning is scored instead of asked about?,audited 2026-09-23,Moved from metacognition: the longitudinal study's main outcome is knowledge gain across tutor-AI unguided-AI and no-AI classes.
doi:10.1016/j.chb.2024.108386,Stadler et al. 2024,Cognitive ease at a cost: LLMs reduce mental effort but compromise depth in student scientific inquiry,ai_studies,primary_empirical,maintained Claude Science extraction,Does AI change what you learn?,Is learning from an LLM different from learning through search?,direct evidence,Does AI change what you learn? || Is an LLM different from a search engine?,audited 2026-09-23,Randomized comparison found lower effort and lower-quality reasoning with ChatGPT than Google on one scientific-inquiry task.
doi:10.1093/pnasnexus/pgaf316,Melumad et al. 2025,Experimental evidence of the effects of large language models versus web search on depth of learning,ai_studies,primary_empirical,maintained Claude Science extraction,Does AI change what you learn?,Is learning from an LLM different from learning through search?,direct evidence,Does AI change what you learn? || Is an LLM different from a search engine?,audited 2026-09-23,Seven randomized experiments found shallower self-reported learning and sparser later advice after LLM synthesis than web links.
doi:10.1111/bjet.13334,Wu et al. 2023,Do AI chatbots improve students learning outcomes? Evidence from a meta‐analysis,ai_studies,systematic_review_or_meta_analysis,maintained Claude Science extraction,Does AI change what you learn?,What do reviews and frameworks conclude?,evidence synthesis or quality context,,audited 2026-09-23,Meta-analysis of 24 educational-chatbot studies across mixed ages; intervention and outcome heterogeneity limit direct GenAI conclusions.
doi:10.1007/s10648-025-10020-8,Bauer et al. 2025,Looking Beyond the Hype: Understanding the Effects of AI on Learning,ai_studies,theory,maintained Claude Science extraction,Does AI change what you learn?,What do reviews and frameworks conclude?,evidence synthesis or quality context,,audited 2026-09-23,Conceptual ISAR framework; included as theory context rather than empirical evidence.
doi:10.1038/s44159-025-00467-5,Yan et al. 2025,Distinguishing performance gains from learning when using generative AI,ai_studies,review,maintained Claude Science extraction,Does AI change what you learn?,What do reviews and frameworks conclude?,evidence synthesis or quality context,,audited 2026-09-23,Perspective article on separating assisted performance from durable learning; included as synthesis context rather than a primary study.
doi:10.48550/arxiv.2408.04681,Chan et al. 2024,Conversational AI Powered by Large Language Models Amplifies False Memories in Witness Interviews,ai_studies,primary_empirical,maintained Claude Science extraction,Does AI change what you remember?,Can AI reshape what people remember?,direct evidence,Does AI change what you remember? || Can AI put memories in that were never there?,audited 2026-09-23,Direct experimental evidence on false memory after a suggestive AI interview.
doi:10.1145/3772318.3791863,Zhou et al. 2026,Tell Me What I Missed: Interacting with GPT during Recalling of One-Time Witnessed Events,ai_studies,primary_empirical,maintained Claude Science extraction,Does AI change what you remember?,Can AI reshape what people remember?,direct evidence,,audited 2026-09-23,Directly concerns AI-guided recall; sample and design remain unavailable in the retrieved text.
doi:10.48550/arxiv.2506.08872,Kosmyna et al. 2025,Your Brain on ChatGPT: Accumulation of Cognitive Debt when Using an AI Assistant for Essay Writing Task,ai_studies,primary_empirical,maintained Claude Science extraction,Does AI change what you remember?,Can you recall what you produced with AI?,direct evidence,Does AI change what you remember? || Can you recall what you produced with AI?; What happens in the brain? || EEG during AI-assisted writing,audited 2026-09-23,Direct recall evidence from an essay-writing experiment; also repeat under brain measures because EEG is a distinct part of the answer; preprint and the crossover session had only 18 participants.
doi:10.1016/j.ssaho.2025.102287,Barcaui 2025,ChatGPT as a Cognitive Crutch: Evidence From a Randomized Controlled Trial on Knowledge Retention,ai_studies,primary_empirical,content verified in analyses 13 and 16,Does AI change what you remember?,Does AI-assisted learning last after the tool is removed?,direct evidence,,audited 2026-09-23,Direct 45-day unaided retention evidence verified in analysis 13.
doi:arxiv:2607.08849,Contractor and Reyes 2026,Experimental Evidence on the Learning Impact of Generative AI,ai_studies,primary_empirical,content verified in analyses 13 and 16,Does AI change what you remember?,Does AI-assisted learning last after the tool is removed?,direct evidence,,audited 2026-09-23,Direct one-week unaided learning evidence verified in analysis 13; also relevant to the learning branch.
doi:10.1186/s12909-026-09483-2,Sezgunsay et al. 2026,"Integrating ChatGPT into nursing education: a randomized trial exploring knowledge, retention, and student perspectives on endotracheal suctioning",ai_studies,primary_empirical,content verified in analyses 13 and 16,Does AI change what you remember?,Does AI-assisted learning last after the tool is removed?,direct evidence,,audited 2026-09-23,Direct six-week retention evidence from a small guided nursing-education pilot verified in analysis 13.
doi:10.1145/3544548.3581196,Maurice Jakesch et al. 2023,Co-Writing with Opinionated Language Models Affects Users' Views,ai_studies,primary_empirical,content verified in analysis 21,How does AI change what people believe?,Can AI assistance shape beliefs without an explicit persuasion task?,direct evidence,Can AI make thinking better? || ...and the same lever pointed the other way,audited 2026-09-23,An opinionated writing assistant shifted both expressed writing and users' later survey attitudes on one topic.
doi:10.1126/sciadv.adw5578,Williams-Ceci et al. 2026,Biased AI writing assistants shift users' attitudes on societal issues,ai_studies,primary_empirical,content verified and final-publication metadata corrected in analysis 21,How does AI change what people believe?,Can AI assistance shape beliefs without an explicit persuasion task?,direct evidence,,audited 2026-09-23,Biased autocomplete shifted attitudes during ordinary writing tasks and warnings did not remove the effect.
doi:10.1093/pnasnexus/pgaf325,Esther Boissin et al. 2025,Dialogues with large language models reduce conspiracy beliefs even when the AI is perceived as human,ai_studies,primary_empirical,content verified in analysis 21,How does AI change what people believe?,Can AI move beliefs toward or away from truth?,direct evidence,Can AI make thinking better? || Can AI talk people out of false beliefs?,audited 2026-09-23,Evidence-based dialogue reduced confidence in conspiracy and other unwarranted beliefs regardless of whether the messenger was framed as AI or human.
doi:10.1145/3706598.3713408,Valdemar Danry et al. 2025,Deceptive Explanations by Large Language Models Lead People to Change their Beliefs About Misinformation More Often than Honest Explanations,ai_studies,primary_empirical,content verified in analysis 21,How does AI change what people believe?,Can AI move beliefs toward or away from truth?,direct evidence,Can AI make thinking better? || ...and the same lever pointed the other way,audited 2026-09-23,Deceptive AI explanations raised belief in false headlines and lowered belief in true headlines in a preregistered online experiment.
doi:10.1126/science.adq1814,Thomas H. Costello et al. 2024,Durably reducing conspiracy beliefs through dialogues with AI,ai_studies,primary_empirical,content verified in analysis 21,How does AI change what people believe?,Do belief changes last?,direct evidence,Can AI make thinking better? || Can AI talk people out of false beliefs?,audited 2026-09-23,Personalized evidence-based dialogue reduced conspiracy belief and the effect remained two months later.
doi:10.1126/science.aea3884,Kobi Hackenburg et al. 2025,The levers of political persuasion with conversational artificial intelligence,ai_studies,primary_empirical,content verified and sample-unit error corrected in analysis 21,How does AI change what people believe?,Do belief changes last?,direct evidence,Can AI make thinking better? || ...and the same lever pointed the other way,audited 2026-09-23,Large political-persuasion experiments included a one-month follow-up showing that 36-42 percent of the immediate GPT-4o effect remained.
doi:arxiv:2604.21430,Teng et al. 2026,Brief chatbot interactions produce lasting changes in human moral values,ai_studies,primary_empirical,content verified and publication year corrected in analysis 21,How does AI change what people believe?,Do belief changes last?,direct evidence,,audited 2026-09-23,Small within-subject preprint reports directional moral-judgment changes at a 14-16 day follow-up.
