canonical_id,title,citation,authors,year,venue,publication_status,doi,url,provenance,source_tables,source_access,design,sample,population,exposure,measures,key_finding,effect_size,limitations,caveats,randomized,outcome_timing,exposure_duration,evidence_view,evidence_role,question_family,subquestion_draft,relationship_to_question,verification_status,in_2026_09_23_map,map_placements_2026_09_23
doi:10.1001/jamanetworkopen.2024.40969,Large Language Model Influence on Diagnostic Reasoning,Goh et al. 2024,Ethan Goh; Robert Gallo; Jason Hom; Eric Strong; Yingjie Weng; Hannah Kerman; Joséphine A. Cool; Zahir Kanjee; Andrew S. Parsons; Neera Ahuja; Eric Horvitz; Daniel X. Yang; Arnold Milstein; Andrew Olson; Adam Rodman; Jonathan H. Chen,2024,JAMA Network Open,peer-reviewed,10.1001/jamanetworkopen.2024.40969,https://doi.org/10.1001/jamanetworkopen.2024.40969,claude_science,claude_benefit_side; claude_first_pass,full text (PMC11519755),Randomized single-blind multi-site trial of GPT-4 access versus conventional resources,50,US-licensed physicians,"Intervention group used commercial LLM chatbot (ChatGPT Plus [GPT-4]; OpenAI) as diagnostic aid alongside any conventional resources; control group used conventional diagnostic resources (eg, UpToDate, Google) and were explicitly instructed not to use LLMs; secondary comparison arm used the LLM alone (0-shot prompt, run 3 times) to answer cases without human input",Structured diagnostic-reasoning score time and diagnosis accuracy,GPT-4 access did not improve physicians' diagnostic-reasoning score; the LLM-alone arm scored 16 percentage points above control,"Primary outcome: median score 76% (IQR, 66%-87%) LLM group vs 74% (IQR, 63%-84%) control; mixed-effects model difference 2 percentage points (95% CI, −4 to 8 percentage points; P=.60). Sensitivity analysis (all cases): difference 2 percentage points (95% CI, −4 to 8 percentage points; P=.50). Time: median 519 (IQR, 371-668) s LLM vs 565 (IQR, 456-788) s control; adjusted difference −82 seconds (95% CI, −195 to 31 seconds; P=.20) [Table 3 reports P=.15 for all participants]. Ordinal diagnosis accuracy: odds ratio 1.4 (95% CI, 0.7-2.8; P=.39). Binary diagnosis accuracy: odds ratio 1.9 (95% CI, 0.9-4.0; P=.10). LLM alone: median score 92% (IQR, 82%-97%); absolute score difference vs control 16 percentage points (95% CI, 2-30 percentage points; P=.03) favoring LLM alone. Weighted Cohen κ = 0.66; overall Cronbach α = 0.64 (0.67 after removing final diagnosis component).",Six curated vignettes; small sample; unstandardized tool use; LLM-alone comparison was not a randomized human arm,multi-site but small N; N<30 per subgroup in some analyses; no delayed retention test; outcome is proxy not learning (rubric score vs downstream clinical impact not assessed); self-selected/volunteer sample; acontextual task per authors; no prompt-engineering training provided,yes,with AI present,single session,ai_studies,primary_empirical,Does AI advice make judgment better or worse?,Does AI improve clinical judgment?,direct evidence,content verified in analysis 19,yes,Does AI advice make judgment better or worse? || Do LLMs actually help doctors?
doi:10.1038/s41591-024-03456-y,GPT-4 assistance for improvement of physician performance on patient care tasks: a randomized controlled trial,Goh et al. 2025,Ethan Goh; Robert J. Gallo; Eric Strong; Yingjie Weng; Hannah Kerman; Jason A. Freed; Joséphine A. Cool; Zahir Kanjee; Kathleen P. Lane; Andrew S. Parsons; Neera Ahuja; Eric Horvitz; Daniel X. Yang; Arnold Milstein; Andrew Olson; Jason Hom; Jonathan H. Chen; Adam Rodman,2025,Nature Medicine,peer-reviewed,10.1038/s41591-024-03456-y,https://doi.org/10.1038/s41591-024-03456-y,claude_science,claude_benefit_side; claude_first_pass,full text (PMC12380382),Prospective randomized rater-blind trial of GPT-4 access versus conventional resources,92,Practicing and resident physicians,"GPT-4 accessed via the ChatGPT Plus (OpenAI) interface, compared to a conventional resources group instructed to use normal point-of-care resources (e.g., UpToDate, Epocrates, internet) and told not to use any LLMs (ChatGPT, Claude, Bard/Gemini); a separate LLM-only arm ran GPT-4 alone via a zero-shot prompt (each prompt run five times) with no human physician involvement",Expert-scored management reasoning on clinical vignettes,GPT-4 access improved mean management-reasoning score by 6.5 percentage points; physicians with GPT-4 and GPT-4 alone scored similarly,"Primary: 43.0% vs 35.7%, difference 6.5%, 95% CI 2.7% to 10.2%, p<0.001. LLM alone vs LLM-assisted humans: 43.7% vs 43.0%, difference 0.9%, 95% CI −7.2% to 9.0%, p=0.80. LLM alone vs conventional: 43.7% vs 35.7%, difference 7.3%, 95% CI −0.7% to 15.4%, p=0.074. Subdomains: management decisions 40.5% vs 33.4%, diff 6.1%, 95% CI 2.5–9.7%, p=0.001; diagnostic decisions 56.8% vs 45.8%, diff 12.1%, 95% CI 3.1–21%, p=0.009; context-specific 42.4% vs 34.9%, diff 6.2%, 95% CI 2.4–9.9%, p=0.002; factual recall 62.9% vs 53.8%, diff 9.6%, 95% CI −3.1–22.3%, p=0.14; general management knowledge 29.4% vs 26.5%, diff 3.3, 95% CI −1.3–7.9%, p=0.2. Time: 801.5s vs 690.2s, difference 119.3s (text also states 111.3 seconds more), 95% CI 17.4 to 221.2, p=0.022; after adjusting for time, 5.4 percentage point increase (95% CI 1.7 to 9.0, p=0.004); per-minute increase 0.6 points (95% CI 0.4 to 0.8, p<0.001). After adjusting for response character count: LLM group scored 3.7 percentage points higher, 95% CI 0.7 to 6.7, p=0.02 (longer responses ~0.3 points per 100 characters). Grading agreement: pooled κ=0.80 (case kappas 0.58, 0.83, 0.82, 0.90, 0.89), agreement on 328/400 cases (82%). Harm: medium/high likelihood of harm 8.3%/3.8% (LLM) vs 11.4%/2.9% (conventional); mild-to-moderate harm 3.7% (LLM) vs 5.3% (conventional); severe harm 7.6% (LLM) vs 7.5% (conventional).",Vignette task; rubric not validated outside the study; only correct content earned points while incorrect content was not penalized,outcome is proxy not learning; no delayed retention test; single-blind (rater only); non-randomised LLM-only comparison arm; vignette-based not real patients; unvalidated rubric outside study; short single one-hour session,yes,with AI present,single session,ai_studies,primary_empirical,Does AI advice make judgment better or worse?,Does AI improve clinical judgment?,direct evidence,content verified in analysis 19,yes,Does AI advice make judgment better or worse? || Do LLMs actually help doctors?
doi:10.1038/s41591-025-04074-y,Reliability of LLMs as medical assistants for the general public: a randomized preregistered study,Bean et al. 2026,Andrew M. Bean; Rebecca Elizabeth Payne; Guy Parsons et al.,2026,Nature Medicine,peer-reviewed,10.1038/s41591-025-04074-y,https://doi.org/10.1038/s41591-025-04074-y,perplexity,perplexity,,Preregistered randomized study of three LLM assistants versus control,1298,UK adults,,Identification of relevant conditions and appropriate level of care,The LLMs alone named a relevant condition in 94.9 percent of cases but people given access named fewer than 34.5 percent; control participants had 1.76 times the odds of identifying a relevant condition,,Self-assessment through a chat interface differs from clinical care; failures included incomplete information model misinterpretation and users' difficulty selecting the best suggestion,,yes,,,ai_studies,primary_empirical,Does AI advice make judgment better or worse?,Does AI improve clinical judgment?,direct evidence,content verified in analysis 19,no,
doi:10.1186/s40561-024-00316-7,The effects of over-reliance on AI dialogue systems on students' cognitive abilities: a systematic review,Zhai et al. 2024,Chunpeng Zhai; Santoso Wibowo; Lily D. Li,2024,Smart Learning Environments,peer-reviewed,10.1186/s40561-024-00316-7,https://doi.org/10.1186/s40561-024-00316-7,claude_science,claude_first_pass,abstract only,PRISMA systematic review,14 articles; total participant count not reported in retrieved text,Students in educational and research settings,AI dialogue systems embedded with generative models used for academic research and learning; contrast is over-reliance vs. non-over-reliance on AI-generated recommendations (no specific arm structure reported in retrieved text),Decision-making critical-thinking and analytical-reasoning outcomes,The review warns that overreliance may encourage cognitive shortcuts but does not provide a pooled effect in the retrieved text,not reported in retrieved text,Abstract-only extraction; heterogeneous outcomes; no pooled effect or total sample available; the review cannot establish one magnitude of harm,abstract only; no effect size reported; population/age not reported; abstract-only source; full systematic-review text not retrieved,no,with AI present or not reported,n/a (synthesis),ai_studies,systematic_review_or_meta_analysis,Does AI advice make judgment better or worse?,What does the broader evidence say about overreliance?,evidence synthesis or quality context,content verified in analysis 19,no,
doi:10.1038/s41746-021-00385-9,Do as AI say: susceptibility in deployment of clinical decision-aids,Gaube et al. 2021,Susanne Gaube; Harini Suresh; Martina Raue; Alexander Merritt; Seth J. Berkowitz; Eva Lermer; Joseph F. Coughlin; John V. Guttag; Errol Colak; Marzyeh Ghassemi,2021,npj Digital Medicine,peer-reviewed,10.1038/s41746-021-00385-9,https://doi.org/10.1038/s41746-021-00385-9,claude_science,claude_first_pass,full text,Preregistered web experiment with advice source between participants and advice accuracy within participants,265,Practicing radiology and internal or emergency medicine physicians,"participants received diagnostic advice (findings and primary diagnosis) purportedly generated either by an AI-based model (labeled 'CHEST-AI') or by an experienced human radiologist (labeled 'Dr. S. Johnson'); advice was randomly accurate (6 cases) or inaccurate (2 cases) per participant, across 8 chest X-ray cases from MIMIC Chest X-ray database",Diagnostic accuracy advice-quality ratings and confidence,Accurate advice improved diagnostic accuracy by 40.10 percent for radiologists and 37.53 percent for non-radiologists relative to inaccurate advice; AI versus human labelling did not change accuracy,"Advice quality-confidence correlation: task experts r(1102) = 0.43, p < 0.001; non-experts r(1014), p < 0.001 (r value not given in retrieved text for non-experts). Diagnostic accuracy difference: task experts 40.10% better, non-experts 37.53% better with accurate vs inaccurate advice. Confidence difference by advice accuracy: radiology t = 6.65, p < 0.001; IM/EM t = 8.43, p < 0.001. Covariates in task experts: professional identification p = 0.042, years of experience p = 0.003. Susceptibility rates: 41.73% of IM/EM physicians and 27.54% of radiologists always gave wrong diagnosis with inaccurate advice; 28.26% of radiologists and 17.32% of IM/EM physicians refuted all incorrect advice. Perfect accuracy: 13.04% radiologists, 3.94% IM/EM; ≤50% accuracy: 2.90% radiologists, 27.56% IM/EM.",Eight web-based chest-X-ray cases; no no-advice control; simulated advice source; dynamic clinical work was not reproduced,"self-report measures for advice quality and confidence; small fixed case set (only 8 cases); web-based simulation, not real clinical deployment; sample skewed toward less experienced physicians; outcome partly proxy (agreement with provided advice) rather than independent diagnostic generation; no fully naive control group without any advice; self-reported individual covariates (AI attitude, professional identification)",no,with AI present,single session,ai_studies,primary_empirical,Does AI advice make judgment better or worse?,What happens when AI advice is wrong?,direct evidence,content verified in analysis 19,yes,Does AI advice make judgment better or worse? || What happens when the AI is wrong?
title:falling-asleep-at-the-wheel-human-ai-collaboration-in-a-field-experiment-on-hr-recruiters,Falling Asleep at the Wheel: Human/AI Collaboration in a Field Experiment on HR Recruiters,Dell'Acqua 2022,Fabrizio Dell'Acqua,2022,Laboratory for Innovation Science at Harvard working paper,preprint,,https://anacanhoto.com/wp-content/uploads/2024/08/554ee-fallingasleepatthewheel-fabriziodellacqua.pdf,perplexity,perplexity,,Preregistered randomized field experiment with four AI-quality conditions,181,Professional HR recruiters,,Accuracy effort and selection across 44 resume reviews per recruiter,Recruiters given higher-quality AI exerted less effort and made less accurate assessments than recruiters given lower-quality AI; experienced recruiters drove the effect,,Working paper; hiring simulation for one role; AI quality was disclosed to participants,,yes,,,ai_studies,primary_empirical,Does AI advice make judgment better or worse?,What happens when AI advice is wrong?,direct evidence,content verified in analysis 19,no,
doi:10.1148/radiol.222176,Automation Bias in Mammography: The Impact of Artificial Intelligence BI-RADS Suggestions on Reader Performance,Dratsch et al. 2023,Thomas Dratsch; Xue Chen; Mohammad Hosein Rezazade Mehrizi; Roman Kloeckner; Aline Mähringer‐Kunz; Michael Püsken; Bettina Baeßler; Stephanie Sauer; David Maintz; Daniel Pinto dos Santos,2023,Radiology,peer-reviewed,10.1148/radiol.222176,https://doi.org/10.1148/radiol.222176,claude_science,claude_first_pass,full text,Prospective experiment with randomized mammogram sets and deliberately correct or incorrect purported-AI suggestions,27 radiologists reading 50 mammograms,Radiologists at three experience levels,"a purported AI system providing BI-RADS category suggestions; correct suggestions in a 10-case training set, and in a 40-case test set an incorrect BI-RADS category was suggested for 12 mammograms",BI-RADS accuracy bias reading time perceived AI accuracy and confidence,Accuracy was about 80 percent when the AI suggestion was correct and 20 to 46 percent when it was wrong; inexperienced readers followed incorrect high-category suggestions more,"""The percentage of correctly rated mammograms by inexperienced (mean, 79.7% ± 11.7 [SD] vs 19.8% ± 14.0; P < .001; r = 0.93), moderately experienced (mean, 81.3% ± 10.1 vs 24.8% ± 11.6; P < .001; r = 0.96), and very experienced (mean, 82.3% ± 4.2 vs 45.5% ± 9.1; P = .003; r = 0.97) radiologists was significantly impacted by the correctness of the AI prediction of BI-RADS category."" Additionally for errors of commission (bias toward overdiagnosis): ""inexperienced radiologists were significantly more likely to follow the suggestions of the purported AI when it incorrectly suggested a higher BI-RADS category than the actual ground truth compared with both moderately (mean degree of bias, 4.0 ± 1.8 vs 2.4 ± 1.5; P = .044; r = 0.46) and very (mean degree of bias, 4.0 ± 1.8 vs 1.2 ± 0.8; P = .009; r = 0.65) experienced readers.""",Small reader sample; purported rather than deployed AI; controlled image-reading task,"experimental/laboratory task, not real clinical workflow; purported AI system (simulated suggestions, not a validated deployed AI); small subgroup sizes across three experience levels (total N=27 radiologists); outcome is proxy task performance on a curated mammogram set, not real-world diagnostic outcomes",yes,with AI present,single session,ai_studies,primary_empirical,Does AI advice make judgment better or worse?,What happens when AI advice is wrong?,direct evidence,content verified in analysis 19,yes,Does AI advice make judgment better or worse? || What happens when the AI is wrong?
doi:10.1001/jama.2023.22295,Measuring the Impact of AI in the Diagnosis of Hospitalized Patients,Jabbour et al. 2023,Sarah Jabbour; David F. Fouhey; Stephanie A. Shepard; Thomas S. Valley; Ella A. Kazerooni; Nikola Banović; Jenna Wiens; Michael W. Sjoding,2023,JAMA,peer-reviewed,10.1001/jama.2023.22295,https://doi.org/10.1001/jama.2023.22295,claude_science,claude_first_pass,full text,Randomized clinical-vignette survey comparing AI predictions with or without image explanations,457,US hospitalist physicians nurse practitioners and physician assistants,"AI model predictions for diagnosing acute respiratory failure (pneumonia, heart failure, COPD) shown alongside clinical vignettes; contrasts: baseline (no AI) vs standard AI model predictions vs systematically biased AI model predictions, each with or without image-based AI model explanations",Diagnostic accuracy on acute respiratory-failure vignettes,Standard AI predictions improved accuracy while systematically biased predictions reduced it; image explanations did not significantly mitigate the biased model's harm,"Baseline diagnostic accuracy was 73.0% (95% CI, 68.3% to 77.8%). When shown a standard AI model without explanations, clinician accuracy increased over baseline by 2.9 percentage points (95% CI, 0.5 to 5.2) and by 4.4 percentage points (95% CI, 2.0 to 6.9) when clinicians were also shown AI model explanations. Systematically biased AI model predictions decreased clinician accuracy by 11.3 percentage points (95% CI, 7.2 to 15.5) compared with baseline and providing biased AI model predictions with explanations decreased clinician accuracy by 9.1 percentage points (95% CI, 4.9 to 13.2) compared with baseline, representing a nonsignificant improvement of 2.3 percentage points (95% CI, −2.7 to 7.2) compared with the systematically biased AI model.",Vignette study; explanations were one image-based method; results do not establish effects in live care,"outcome is proxy (diagnostic-accuracy vignettes), not learning; no delayed retention test",yes,with AI present,single session,ai_studies,primary_empirical,Does AI advice make judgment better or worse?,What happens when AI advice is wrong?,direct evidence,content verified in analysis 19,yes,Does AI advice make judgment better or worse? || What happens when the AI is wrong?
doi:10.1016/j.chb.2024.108352,Trust and reliance on AI — An experimental study on the extent and costs of overreliance on AI,Klingbeil et al. 2024,Artur Klingbeil; Cassandra Grützner; Philipp Schreck,2024,Computers in Human Behavior,peer-reviewed,10.1016/j.chb.2024.108352,https://doi.org/10.1016/j.chb.2024.108352,claude_science,claude_first_pass,abstract only,Incentivized interactive behavioral experiment,Not reported in retrieved primary abstract,Not reported in retrieved primary abstract,"advice framed as generated by an AI recommender system, given in an uncertain decision-making situation",Reliance on AI-labelled advice and decision efficiency,Participants overrelied on advice labelled as AI even when it conflicted with contextual information and their own assessment leading to inefficient outcomes,not reported in retrieved text,Abstract-only extraction; sample task and arm details were not reported in the retrieved text,"abstract only, no methodological detail retrieved; sample size not reported; population/setting not reported; specific measures/instrument not reported; no limitations stated in retrieved text",yes,with AI present or not reported,single session,ai_studies,primary_empirical,Does AI advice make judgment better or worse?,What happens when AI advice is wrong?,direct evidence,content verified in analysis 19,no,
doi:10.1287/orsc.2025.21838,Navigating the Jagged Technological Frontier: Field Experimental Evidence of the Effects of Artificial Intelligence on Knowledge Worker Productivity and Quality,Dell’Acqua et al. 2026,Fabrizio Dell’Acqua; Edward McFowland; Ethan Mollick; Hila Lifshitz; Katherine C. Kellogg; Saran Rajendran; Lisa Krayer; François Candelon; Karim R. Lakhani,2026,Organization Science,peer-reviewed,10.1287/orsc.2025.21838,https://doi.org/10.1287/orsc.2025.21838,both,claude_first_pass; perplexity,abstract only,Preregistered field experiment,758,BCG consultants,"GPT-4 AI access vs. no AI access vs. GPT-4 AI access with a prompt engineering overview, applied to realistic management consulting tasks",Completion speed task quantity quality and correctness,AI users completed 12.2 percent more tasks 25.1 percent faster and at more than 40 percent higher quality inside the frontier; outside it they were 19 percentage points less likely to be correct,completing 12.2% more tasks; completing them 25.1% more quickly on average; 19% less likely to produce correct solutions (for the outside-frontier task) compared with those without AI; no CIs or p-values reported in retrieved text,One model era and consulting setting; researchers selected one task designed to sit outside the model's capability frontier,abstract only; per-arm Ns not reported; industry collaboration (Boston Consulting Group); outcome may be proxy for real-world job performance,yes,with AI present,single session,ai_studies,primary_empirical,Does AI advice make judgment better or worse?,What happens when AI advice is wrong?,direct evidence,content verified in analysis 19,yes,Does AI advice make judgment better or worse? || Does felt benefit match real benefit?
title:the-effects-of-generative-ai-on-high-skilled-work,The Effects of Generative AI on High-Skilled Work,Cui et al. 2025,Cui et al.,2025,MIT draft PDF,preprint,,https://economics.mit.edu/sites/default/files/inline-files/draft_copilot_experiments.pdf,perplexity,perplexity,,Three field randomized controlled trials,4867,Professional software developers at Microsoft Accenture and one Fortune 100 company,,Completed work items under GitHub Copilot access,Copilot access increased completed tasks by 26.08 percent on average with larger gains among less-experienced developers,,The experiments measured productivity while the tool was available; they did not test unaided skill acquisition retention or decay,,not reported,,,ai_studies,primary_empirical,Does AI change the skills you build and retain?,Can productivity gains tell us whether skill changed?,direct evidence,content verified in analysis 18,no,
doi:10.1145/3544548.3580919,Studying the Effect of AI Code Generators on Supporting Novice Learners in Introductory Programming,Kazemitabaar et al. 2023,Majeed Kazemitabaar et al.,2023,CHI 2023,peer-reviewed,10.1145/3544548.3580919,https://doi.org/10.1145/3544548.3580919,perplexity,perplexity,,Controlled experiment; Codex access or no code generator across 10 sessions over three weeks; unaided post-tests one day and one week later,69,Learners aged 10 to 17 with no prior text-based programming experience,,Code-authoring performance during training and unaided code-modification and code-comprehension post-tests,Codex improved assisted code-authoring performance and did not reduce average unaided post-test performance; the single-prompt generation pattern produced the lowest code-modification correctness,,Small sample of minors learning introductory Python; subgroup benefits depended on prior Scratch knowledge; the study concerns new skill acquisition rather than established adult skill,,yes,,,ai_studies,primary_empirical,Does AI change the skills you build and retain?,Does AI help or hinder new skill development?,direct evidence,content verified in analysis 18,no,
doi:arxiv:2502.02880,Coach Not Crutch: AI Assistance Can Enhance Rather Than Hinder Skill Development,Lira et al. 2025,Lira; Rogers; Goldstein; Ungar; Duckworth,2025,arXiv (submitted to Nature Communications),preprint,arXiv:2502.02880,https://arxiv.org/abs/2502.02880,perplexity,perplexity,,Five preregistered studies including randomized writing-practice experiments,Study 2: 2238; Study 4: 2997; Study 5: 2003,Adults recruited through Prolific,,Unaided cover-letter writing after practice including a one-day delayed test,AI-supported practice improved later unaided writing more than unaided practice; merely studying an AI-generated example performed similarly to practicing with AI,,Preprint using one writing genre and short follow-up; it studies adult skill acquisition rather than loss of established expertise,,not reported,,,ai_studies,primary_empirical,Does AI change the skills you build and retain?,Does AI help or hinder new skill development?,direct evidence,content verified in analysis 18,no,
doi:arxiv:2601.20245,How AI Impacts Skill Formation,Shen & Tamkin 2026,Shen; Tamkin,2026,arXiv (Anthropic),preprint,arXiv:2601.20245,https://arxiv.org/abs/2601.20245,perplexity,perplexity,,Randomized experiment,52,Junior software developers learning an unfamiliar asynchronous programming library,,Conceptual understanding code reading debugging and task completion,The AI group scored 50 percent on the unaided quiz versus 67 percent for hand coding; full delegation provided some productivity benefit with weaker learning while cognitively engaged interaction patterns preserved learning,,Small preprint experiment on one unfamiliar programming library; interaction-pattern findings are partly observational within the AI group,,yes,,,ai_studies,primary_empirical,Does AI change the skills you build and retain?,Does AI help or hinder new skill development?,direct evidence,content verified in analysis 18,no,
doi:10.1145/3834580.3838741,How AI Assistance Affects Human Skill Development: A Study of Learning with Logic Puzzles,Wu et al. 2026,Shang Wu; Catarina Belém; Shuyuan Fu; Mark Steyvers; Padhraic Smyth,2026,,peer-reviewed,10.1145/3834580.3838741,https://doi.org/10.1145/3834580.3838741,claude_science,claude_first_pass,full text,Controlled experiment with pre-assistance assistance and immediate post-assistance phases; AI request cost was randomized,124,US adults recruited through Prolific with at least an undergraduate degree,"on-demand AI assistance for logic puzzle tasks, with experimentally varied request costs affecting frequency of AI use",Logic-puzzle accuracy response time reward rate logged AI requests and independent reasoning time,Low-cost assistance increased AI use; participants who chose AI had lower immediate post-assistance reward rates than nonusers and greater independent reasoning time was associated with larger modeled skill gains,"Zero-AI-use subgroup: 'The mean reward rate increased from 2.03 correct objects per minute in Phase 1 to 3.86 in Phase 3, corresponding to a 90.2% increase in the number of correct objects per minute (𝑁 = 75, 𝑡 = 7.40, 𝑝 < 0.01)'. Condition comparison: 'From Phase 1 to Phase 3, reward rate increased by 1.95 in the No-AI condition, 1.66 in the High-cost AI condition, and 1.32 in the Low-cost AI condition; the increase was smaller in the Low-cost AI than in the No-AI condition in a one-sided 𝑡-test (𝑡 = 1.30, 𝑝 < 0.10)'. AI-use comparison: 'participants who requested AI assistance in Phase 2 had a lower average reward rate (3.42 correct items/minute) in Phase 3 ... compared to ... (3.86 correct items/minute) of participants who did not request AI'. Regression bias: 'Phase 3 performance was underestimated by 0.15 reward-rate units on average [non-AI users]. In contrast, for AI users, Phase 3 performance was overestimated by 0.22 reward-rate units on average.' Bayesian model: intercept 'α0 = 0.668, with 95% CI [0.485, 0.851]'; initial-ability coefficient 'αθ ... expected posterior value of −0.531 and 95% CI [−0.756, −0.307], with posterior probability P(αθ < 0) = 1.000'; solo-share coefficient 'posterior mean of αsolo is 0.125, with 95% CI [0.002, 0.246] and posterior probability P(αsolo > 0) = 0.977'; AI-usage coefficient (alternative model) 'posterior mean of 0.0004, 95% CI [−0.122, 0.124], and P(αusage > 0) = 0.501'. A one-minute increase in Phase 2 solo share corresponded to 'a 1.5% increase in predicted Phase 3 accuracy and a 2.5% reduction in predicted response time.'",Single-session simulated perfectly accurate AI; important AI-use comparisons were observational; the low-cost versus no-AI change test used a one-sided p<.10 threshold; DOI and arXiv records leave publication status to verify,"association framed as 'consistent with' causal interpretation for the skill-development link; conference paper, venue not specified",yes,after AI was removed,single session,ai_studies,primary_empirical,Does AI change the skills you build and retain?,Does AI help or hinder new skill development?,direct evidence,content verified in analysis 18,yes,Does AI erode skill you already have? || Does it show up in a controlled task?
doi:10.1016/s2468-1253(25)00133-5,"Endoscopist deskilling risk after exposure to artificial intelligence in colonoscopy: a multicentre, observational study",Budzyń et al. 2025,Krzysztof Budzyń; Marcin Romańczyk; Diana Kitala; Paweł Kołodziej; Marek Bugajski; Hans‐Olov Adami; Johannes Blom; Marek Buszkiewicz; Natalie Halvorsen; Cesare Hassan; Tomasz Romańczyk; Øyvind Holme; Krzysztof Jarus; Shona Fielding; Melina A. Kunar; María Pellisé; Nastazja Pilonis; Michał F. Kamiński; Mette Kalager; Michael Bretthauer; Yuichi Mori,2025,The Lancet. Gastroenterology & hepatology,peer-reviewed,10.1016/s2468-1253(25)00133-5,https://doi.org/10.1016/s2468-1253(25)00133-5,both,claude_first_pass; perplexity,abstract only,Retrospective multicentre observational before-and-after comparison of non-AI colonoscopies before and after workplace AI adoption,1443 colonoscopies: 795 before and 648 after; 19 endoscopists,Experienced endoscopists at four centres in Poland,endoscopists at centres that introduced AI tools for polyp detection at end of 2021; outcome examined is their performance on non-AI assisted colonoscopy before vs after this AI exposure period,Adenoma detection rate during standard colonoscopy without AI,Adenoma detection fell from 28.4 percent before AI exposure to 22.4 percent afterward; adjusted odds ratio 0.69 with 95 percent CI 0.53 to 0.89,ADR before: 28.4% (226 of 795); ADR after: 22.4% (145 of 648); absolute difference -6.0% (95% CI -10.5 to -1.6; p=0.0089); multivariable logistic regression: AI exposure odds ratio 0.69 (95% CI 0.53-0.89); male vs female sex 1.78 (1.38-2.30); age >=60 vs <60 years 3.60 (2.74-4.72),No concurrent control group and no random assignment; colonoscopies rather than people are the 1443 observations; ADR is a performance outcome and cannot identify the cognitive mechanism,"retrospective observational design, not randomised for this comparison; before/after comparison, not a concurrent control group for the deskilling effect itself; single country (Poland), four centres; outcome is proxy (ADR) not direct measure of endoscopist cognitive skill or learning; authors' stated limitations not included in retrieved abstract text; funding source not fully assessed for conflicts (European Commission and Japan Society for the Promotion of Science funded)",no,after AI was removed,months,ai_studies,primary_empirical,Does AI change the skills you build and retain?,Has AI changed established professional skill?,direct evidence,content verified in analysis 18,yes,Does AI erode skill you already have? || Has anyone seen it in real professional practice?
doi:10.3390/arm94040048,Artificial Intelligence-Induced Deskilling in Interventional Pulmonology: An International Cross-Sectional Survey on Risk Perception and Mitigation Strategies,Marchi et al. 2026,Gianluca Marchi; Lorenzo Corbetta,2026,Advances in respiratory medicine,peer-reviewed,10.3390/arm94040048,https://doi.org/10.3390/arm94040048,claude_science,claude_first_pass,full text,International cross-sectional questionnaire survey,118,Interventional pulmonologists in 10 countries,"Not an experimental exposure/manipulation; survey asked respondents about perceptions of AI in interventional pulmonology (e.g., AI-assisted lung nodule detection, robotic/computer-aided bronchoscopic navigation, AI-enhanced EBUS interpretation, ML-supported cytopathology, decision-support for pleural procedures) and their concerns/attitudes toward AI-induced deskilling; no arms/conditions—single cross-sectional sample rating 12 Likert items",Unvalidated 12-item survey of perceived deskilling risk and mitigation preferences,Seventy-three percent expressed concern about procedural deskilling and 89 percent called it a priority research area,"Q1: 87% (n=103); Q2: 73% (n=86); Q3: 38% (n=45); Q4: 81% (n=96); Q5: 83% (n=98); Q6: 84% (n=99); Q7: 86% (n=101); Q8: 78% (n=92); Q9: 77% (n=91); Q10: 89% (n=105); Q11: 74% (n=87); Q12: 70% (n=83). Agreement rates across items ranged from 38% to 89%. Referenced comparator study (Budzyń et al., not this study's own data): adenoma detection rate declined from 28.4% before AI implementation to 22.4% after (OR 0.69, 95% CI 0.53–0.89; p=0.0089), with AI-assisted performance stable at 25.3%. No inferential statistical testing was conducted in the present survey; ""no claims of statistical significance are made anywhere in this manuscript.""",Convenience sample with 11 or 12 respondents per country; measures perceptions rather than observed skill; hypothetical framing and an unvalidated instrument limit inference,self-report only; cross-sectional; no control group; convenience sample; no validated instrument; outcome is proxy not learning (perceptions not measured performance); selection bias (academic-setting overrepresented); no delayed retention test; hypothetical/anticipated framing may induce socially desirable responding,no,with AI present,n/a (survey/synthesis),ai_studies,primary_empirical,Does AI change the skills you build and retain?,What do professionals perceive?,direct evidence,content verified in analysis 18,yes,Does AI erode skill you already have? || How worried are practitioners?
