doi,cite,year,venue,src,basis,task,signal,measure,domain,measure_type,instrument_named,gap,gap_note
10.1073/pnas.2422633122,Bastani et al. 2025,2025,Proceedings of the National Academy of Sciences,main,full text,solved math practice problems and took closed-book exam,durable learning/mastery of material,graded scores on practice problems and unassisted exam using teacher rubric,learning_transfer,performance_without_tool,False,assisted_for_durable,"Practice perf measured with GPT assistance present; exam perf (unassisted) used to infer durable learning, showing assisted gains don't transfer."
10.1038/s41598-025-97652-6,Kestin et al. 2025,2025,Scientific Reports,main,full text,completed physics lessons via AI tutor or in-class active learning,content mastery / learning from instruction,pre/post-test quiz scores on lesson-specific physics content,learning_transfer,performance_without_tool,True,none,"Post-test measures direct content mastery of the taught material, matching the learning signal claimed."
10.1002/jcal.70322,Melanou et al. 2026,2026,Journal of Computer Assisted Learning,main,abstract only,"learned course material under AI-tutor, unguided-AI, or control condition",learning outcomes and critical thinking development,"knowledge gain, motivation, cognitive load, critical thinking, reflective use (instruments not reported)",learning_transfer,unclear,False,unclear,"Measures listed only by construct name; 'specific instruments/tasks not reported in retrieved text', so scoring method unknown."
10.1016/s2468-1253(25)00133-5,Budzyń et al. 2025,2025,The Lancet. Gastroenterology & hepatology,main,abstract only,performed standard non-AI-assisted colonoscopies,endoscopist polyp-detection skill/vigilance,adenoma detection rate (ADR) on non-AI colonoscopies,domain_skill,performance_without_tool,True,product_for_process,ADR outcome rate is measured; deskilling/vigilance decline in endoscopist behaviour is inferred from the rate change.
10.3390/arm94040048,Marchi et al. 2026,2026,Advances in respiratory medicine,main,full text,answered a survey about AI attitudes in bronchoscopy,concern about AI-induced deskilling,"12-item Likert questionnaire, % agreeing (score 4-5)",self_reported_habit,self_report,False,self_for_actual,"Self-reported attitudes/concerns about deskilling and automation bias are used to infer actual skill risk; 'no validated instrument, no formal psychometric validation performed'."
10.1007/s10796-026-10804-5,Subramanya et al. 2026,2026,Information Systems Frontiers,main,abstract only,answered a survey about own GenAI use and skills,erosion of professional skills from AI dependence,"self-reported perceived skill erosion, GenAI collaboration depth/asymmetry",self_reported_habit,self_report,False,self_for_actual,"Measures 'perceived erosion of professional skills' via self-report survey, not actual skill capacity or performance."
10.1145/3834580.3838741,Wu et al. 2026,2026,,main,abstract only,"solved logic puzzles before, during, and after AI availability",reasoning skill development / durable problem-solving ability,logic puzzle performance and Bayesian-estimated latent ability scores,reasoning_critical,performance_without_tool,False,assisted_for_durable,"unassisted post-AI performance is inferred/estimated from AI-assisted phase performance, which the finding says is 'overestimated'."
10.1145/3449287,Buçinca et al. 2021,2021,Proceedings of the ACM on Human-Computer Interaction,main,full text,chose ingredient substitutions with AI assistance shown,overreliance on AI / independent decision-making,% correct choices when AI prediction was incorrect (overreliance rate),decision_judgment,performance_with_tool,False,assisted_for_durable,Overreliance measured only while AI assistance present; task performance in these conditions used to infer independent decision-making capacity.
10.1001/jama.2023.22295,Jabbour et al. 2023,2023,JAMA,main,abstract only,diagnosed acute respiratory failure cause from clinical vignettes,clinical diagnostic decision-making with AI assistance,"diagnostic accuracy for pneumonia, heart failure, COPD on vignettes",decision_judgment,performance_with_tool,False,assisted_for_durable,Accuracy measured while AI predictions/explanations were present on vignettes; unassisted durable diagnostic skill not assessed separately.
10.1148/radiol.222176,Dratsch et al. 2023,2023,Radiology,main,abstract only,rated 50 mammograms with AI BI-RADS suggestions,automation bias in diagnostic decision-making,percentage of mammograms correctly rated by BI-RADS category,decision_judgment,performance_with_tool,False,assisted_for_durable,"performance measured only while AI suggestions present; used to infer general susceptibility to automation bias, not durable unaided skill."
10.1145/3579605,Vasconcelos et al. 2023,2023,Proceedings of the ACM on Human-Computer Interaction,main,abstract only,solved maze-exit tasks with AI predictions/explanations,strategic cost-benefit engagement with AI explanations,agreement rate with incorrect AI answers; effort discounting task (Study 5),decision_judgment,performance_with_tool,True,assisted_for_durable,"Overreliance measured during live AI-assisted maze task; used as evidence of general engagement strategy, not lasting capacity."
10.1038/s41562-024-02024-1,Vaccaro et al. 2024,2024,Nature Human Behaviour,main,full text,performed varied lab tasks alone/with-AI/AI-alone across studies,human-AI collaborative performance synergy,task accuracy/error/quality standardized as Hedges' g,decision_judgment,performance_with_tool,False,none,"Meta-analysis directly compares human-alone, AI-alone, and human+AI task performance outcomes; measure matches the synergy/augmentation signal claimed."
10.1001/jamanetworkopen.2024.40969,Goh et al. 2024,2024,JAMA Network Open,main,full text,physicians solved diagnostic cases using LLM or conventional resources,clinical diagnostic reasoning,structured reflection tool score rated by blinded raters,reasoning_critical,product_quality,True,product_for_process,Score on 'adapted structured reflection tool/grid' judged by raters; underlying diagnostic reasoning process is inferred from written output quality.
10.1016/j.chb.2024.108352,Klingbeil et al. 2024,2024,Computers in Human Behavior,main,abstract only,made decisions under uncertainty with AI-framed advice,reliance on AI advice vs own judgment,extent AI advice followed vs contextual info/own assessment; decision outcomes/efficiency,decision_judgment,behavioural_trace,False,proxy_construct,"advice-following/outcome efficiency measured, used as proxy for overreliance/judgment quality, not a validated judgment measure"
10.1038/s41591-024-03456-y,Goh et al. 2025,2025,Nature Medicine,main,full text,solved clinical management-reasoning case vignettes,clinical management reasoning ability,expert Delphi rubric scores on case vignette responses,domain_skill,product_quality,True,assisted_for_durable,Scores were obtained while physicians used the LLM during the task; study infers reasoning ability rather than measuring unassisted durable skill.
10.1073/pnas.2426153122,Zöller et al. 2025,2025,Proceedings of the National Academy of Sciences,main,full text,produced ranked differential diagnoses for clinical vignettes,"diagnostic accuracy of human, AI, and hybrid decision-making",top-1/top-3/top-5 accuracy and mean reciprocal rank via SNOMED CT matching to gold-standard diagnoses,decision_judgment,performance_with_tool,False,assisted_for_durable,Accuracy measured with LLM assistance present in hybrid ensembles; underlying human diagnostic capacity without tools not isolated.
10.48550/arxiv.2507.09089,Becker et al. 2025,2025,arXiv (Cornell University),main,full text,completed real coding issues on own repos with/without AI allowed,developer productivity/speed with AI tooling,self-reported total issue implementation time (log-linear regression),domain_skill,self_report,False,self_for_actual,"Primary outcome is 'self-reported by developers', used as proxy for actual task completion efficiency."
10.1287/orsc.2025.21838,Dell’Acqua et al. 2026,2026,Organization Science,main,abstract only,completed 18 consulting tasks plus 1 complex managerial task,AI's ability to augment or limit knowledge-worker performance,"task completion rate, speed, and solution quality/correctness ratings",domain_skill,performance_with_tool,False,assisted_for_durable,Performance measured with AI present ('subjects using AI'); no durable/unassisted capability measured post-exposure.
10.3389/fnhum.2016.00542,Goodyear et al. 2016,2016,Frontiers in Human Neuroscience,main,full text,performed X-ray luggage-screening task using human/machine advisor,trust and reliance on human vs. machine advice,"task accuracy, advice utilization, trust/reliability ratings, and fMRI BOLD/connectivity",decision_judgment,performance_with_tool,True,proxy_construct,"Behavioral accuracy/utilization plus fMRI activation/connectivity are used as proxies for trust and reliance, a related but distinct construct."
10.3390/brainsci14101032,Lv et al. 2024,2024,Brain Sciences,main,full text,judged AI service outcomes as success/failure via button-press,unconscious cognitive conflict from stance attribution,theta-band ERSP and FCz-F6 theta PLV during oddball task,brain_physiology,physiological,True,none,"EEG theta ERSP/PLV directly measured during task, treated as index of unconscious cognitive conflict itself."
10.48550/arxiv.2506.08872,Kosmyna et al. 2025,2025,arXiv (Cornell University),main,full text,"wrote SAT-style essays under LLM, search, or no-tool conditions",cognitive engagement/strategy during writing,EEG neural connectivity (dDTF) plus essay NLP/quality scoring and interviews,brain_physiology,physiological,True,proxy_construct,"EEG connectivity differences interpreted as 'divergent cognitive strategies' and engagement, but connectivity is a physiological proxy, not directly cognition."
10.1186/s13063-025-08950-3,Chen et al. 2025,2025,Trials,main,full text,"wrote a GRE-style analytical essay, with or without ChatGPT",cognitive effort and writing performance during essay writing,GRE 0–6 e-rater score; pupil size; fNIRS prefrontal/SMA HbO; self-report scales,domain_skill,product_quality,True,assisted_for_durable,"Writing measured while ChatGPT is present/usable during the task; no durable/unassisted capacity assessed, per exposure description."
10.48550/arxiv.2409.16708,Fernandes et al. 2024,2024,arXiv (Cornell University),main,full text,solved LSAT logical reasoning problems using ChatGPT-4o,metacognitive accuracy and Dunning-Kruger bias with AI use,LSAT score plus self-estimated performance and confidence ratings (ROC/AUC),metacognition,performance_with_tool,True,assisted_for_durable,"Performance and metacognition measured only while using ChatGPT-4o; task 'required at least one prompt per problem', no unassisted durable measure taken."
10.1145/3706598.3713778,Lee et al. 2025,2025,,main,abstract only,reported own GenAI use examples and confidence levels,critical thinking enacted during GenAI-assisted tasks,"self-reported enactment/effort of critical thinking, confidence ratings, qualitative coding",self_reported_habit,self_report,False,self_for_actual,"Study measures 'self-reported enaction of critical thinking' and confidence, inferring actual critical thinking capacity from self-report."
10.3390/soc15010006,Gerlich 2025,2025,Societies,main,abstract only,answered a survey about own AI tool use,critical thinking ability,survey-based critical thinking score (instrument unspecified),self_reported_habit,self_report,False,self_for_actual,Critical thinking and AI usage measured via self-report survey; actual critical thinking capacity is inferred from reported scores/habits.
10.3390/soc15090252,Gerlich 2025,2025,Societies,main,abstract only,not stated,not stated,not stated,unclear,unclear,False,unclear,"Record is a correction notice with no substantive content; text only states ""Error in Table [...]"" with no details."
10.1111/bjet.13591,Urban et al. 2025,2025,British Journal of Educational Technology,main,abstract only,wrote essay independently or with ChatGPT assistance,metacognitive accuracy and epistemic beliefs about information use,amount of correct/incorrect info integrated plus metacognitive bias scores,metacognition,product_quality,False,product_for_process,Metacognitive bias/epistemic beliefs inferred from counts of correct/incorrect information integrated into written product.
10.1111/bjet.13334,Wu et al. 2023,2023,British Journal of Educational Technology,main,abstract only,completed learning outcome measures during AI chatbot intervention,learning from AI chatbot intervention,students' learning outcomes; specific instruments not reported,learning_transfer,unclear,False,unclear,measures described only as 'learning outcomes' with 'specific instruments/tasks not reported in retrieved text'
10.1186/s40561-024-00316-7,Zhai et al. 2024,2024,Smart Learning Environments,main,abstract only,not stated (systematic review of 14 articles),"decision-making, critical thinking, analytical reasoning",not stated,unclear,synthesis,False,unclear,Record is a review synthesizing findings; no specific measure or instrument reported for the underlying studies.
10.1007/s10648-025-10020-8,Bauer et al. 2025,2025,Educational Psychology Review,main,abstract only,not stated,framework for classifying AI effects on learning,not stated,unclear,unclear,False,unclear,Conceptual/theoretical paper introducing ISAR model; no empirical measure or task reported in text.
10.1038/s44159-025-00467-5,Yan et al. 2025,2025,Nature Reviews Psychology,main,full text,not stated,durable learning vs immediate task performance,"varied across cited studies: task performance, self-reported cognitive load, self-reported autonomy/confidence",learning_transfer,synthesis,False,assisted_for_durable,"Authors state performance gains 'diminished once the generative AI assistance was removed,' showing assisted performance measured while durable learning inferred."
10.1126/science.adq1814,Costello et al. 2024,2024,Science,benefit,abstract only (PubMed abstract; no PMC full text available),engaged in AI dialogue about own conspiracy belief,revisability of conspiracy beliefs given evidence,"self-reported belief strength in target/unrelated conspiracies, behavioural intentions",self_reported_habit,self_report,False,self_for_actual,"Belief change inferred from self-reported belief ratings, not direct behavioural verification of actual belief revision."
10.1093/pnasnexus/pgaf325,Boissin et al. 2025,2025,PNAS Nexus,benefit,full text (PMC12578366),discussed own conspiracy/unwarranted belief with LLM chatbot,belief revision via persuasive argument,"self-rated confidence/certainty in belief, pre vs post",decision_judgment,self_report,False,self_for_actual,Only self-reported confidence/certainty pre vs post was recorded; actual change in underlying belief or reasoning not directly assessed.
10.1038/s41562-025-02194-6,Salvi et al. 2025,2025,Nature Human Behaviour,benefit,full text (PMC12367540),debated a proposition with GPT-4 or a human opponent,susceptibility to persuasion,post-debate agreement with the debate proposition,decision_judgment,self_report,False,none,Measure (opinion change/agreement) directly captures the signal of persuasive influence being studied.
10.1073/pnas.2403116121,Hackenburg et al. 2024,2024,PNAS,benefit,full text (PMC11181035),read an AI-generated persuasive political message,persuasive influence on political attitudes,"self-reported issue support, percentage-point change",self_reported_habit,self_report,False,self_for_actual,Measure is self-reported stated support; actual belief/behavior change is inferred from percentage-point shift in self-report.
10.1126/science.aea3884,Hackenburg et al. 2025,2025,Science,benefit,abstract only (PubMed abstract; no PMC full text retrieved),read AI-generated political persuasion messages,susceptibility to persuasion,self-reported attitude change on political issues,decision_judgment,self_report,False,self_for_actual,Persuasiveness measured as reported attitude shift after exposure; actual belief/behavior change is inferred from self-report.
10.1145/3544548.3580672,Danry et al. 2023,2023,CHI Conference on Human Factors in Computing Systems,benefit,"abstract only (OpenAlex abstract; full text not retrievable — ACM DL blocked, no arXiv version found)",judged validity of socially divisive statements,discernment of logically flawed statements,accuracy discerning logical validity of statements,reasoning_critical,performance_with_tool,False,assisted_for_durable,Discernment measured while AI-framed Questioning feedback was present; task-general reasoning capacity is inferred beyond the assisted condition.
10.1145/3706598.3713408,Danry et al. 2025,2025,CHI Conference on Human Factors in Computing Systems,benefit,abstract only (abstract retrieved via Unpaywall metadata; PDF not retrievable),classified true/false news headlines with AI explanations,critical thinking / susceptibility to deception,belief ratings in headlines and credibility ratings of explanations,decision_judgment,self_report,False,proxy_construct,"Belief/credibility ratings measure susceptibility to persuasion, used as evidence for 'critical thinking' capacity."
10.1126/sciadv.adn5290,Doshi et al. 2024,2024,Science Advances,benefit,full text (PMC11244532),"wrote an eight-sentence story, optionally using GPT-4 ideas",individual and collective creativity,"human-rated novelty, usefulness, quality, enjoyment; embedding similarity across stories",creativity,product_quality,False,product_for_process,"Ratings of story novelty/quality/enjoyment stand in for creativity; DAT is only a covariate, not the outcome measure."
10.1145/3635636.3656204,Anderson et al. 2024,2024,ACM Creativity and Cognition (C&C '24),benefit,full text of the arXiv preprint version (arXiv:2402.01536) of the same work; published ACM version not retrievable,generated ideas using ChatGPT or an alternative creativity tool,creativity (idea diversity and fixation),"semantic similarity/distance between ideas, idea count/detail, self-reported creativity and ownership",creativity,product_quality,False,product_for_process,"Homogenisation/fixation inferred from semantic distance between generated ideas, not from directly observed ideation process."
10.48550/arxiv.2309.05196,Padmakumar et al. 2023,2023,arXiv (preprint; subsequently presented at ICLR 2024 per the authors' listing — publication status not confirmed in retrieved record),benefit,full text (arXiv PDF),co-wrote argumentative essays with/without LLM suggestions,homogenization of writing output from AI assistance,"diversity metrics (inter-author similarity, lexical/content diversity) on essays",creativity,product_quality,False,product_for_process,"Essay text diversity metrics are scored; any effect on writers' own creative/cognitive capacity is inferred, not measured."
10.1145/3544548.3581196,Jakesch et al. 2023,2023,CHI Conference on Human Factors in Computing Systems,benefit,full text of the arXiv preprint version (arXiv:2302.00560) of the same work,wrote an essay with a biased AI writing assistant,opinion/attitude shift from biased AI exposure,judge-rated opinions in writing plus post-task attitude survey,decision_judgment,product_quality,False,self_for_actual,"Attitude change inferred from self-reported subsequent survey plus judge-rated writing, not an independent behavioral measure of actual belief change."
10.1145/3715928.3737481,Ashkinaze et al. 2025,2025,ACM Conference on Economics and Computation (EC '25),benefit,full text of the arXiv preprint version (arXiv:2401.13481) of the same work,generated a creative idea after viewing AI-generated ideas,creativity,individual idea creativity ratings; collective idea diversity and rate of change,creativity,product_quality,False,product_for_process,"Creativity inferred from ratings of the produced idea, not from any measured cognitive process; 'individual ideas' creativity is rated output."
10.1126/science.adh2586,Noy et al. 2023,2023,Science,benefit,abstract only (PubMed abstract; no PMC full text retrieved),wrote occupation-specific professional writing task,productivity and writing performance,time taken and human-graded output quality,domain_skill,product_quality,False,assisted_for_durable,Quality measured during ChatGPT exposure ('Random exposure to ChatGPT'); durable skill/capacity not established by task-with-tool performance.
10.1093/qje/qjae044,Brynjolfsson et al. 2025,2025,The Quarterly Journal of Economics,benefit,full text (open-access QJE version of record),handled customer-support chats with AI assistant access,worker productivity and on-the-job learning,"issues resolved per hour, output quality, English fluency measures, customer sentiment, chat duration during software outages",domain_skill,performance_with_tool,False,assisted_for_durable,"Main productivity outcomes were measured with AI available; rare software outages provide noisy observational evidence of retained speed gains without live recommendations."
10.3389/fresc.2025.1600145,Allen et al. 2025,2025,Frontiers in Rehabilitation Sciences,benefit,full text (PMC12163031),produced writing samples with/without ChatGPT over ten clinic sessions,written communication ability in aphasia,"sentence count, syntactic complexity, error counts; Likert/open-ended attitude surveys",domain_skill,performance_with_tool,False,assisted_for_durable,"Metrics taken 'when using ChatGPT' vs self-written, but conclusion claims AI 'can enhance written communication' generally, not just assisted performance."
10.1038/s42256-024-00976-7,Steyvers et al. 2025,2025,Nature Machine Intelligence,benefit,full text (publisher PDF via Unpaywall),judged probability that LLM answers were correct,human calibration/trust in AI accuracy,expected calibration error and discrimination gap of human confidence judgments,decision_judgment,performance_with_tool,True,assisted_for_durable,Calibration measured only while reading LLM explanations/using assistance; no test of judgment without AI present.
10.1609/hcomp.v7i1.5285,Bansal et al. 2019,2019,Proceedings of the AAAI Conference on Human Computation and Crowdsourcing (HCOMP),benefit,full text (publisher PDF via Unpaywall),made decisions with AI advice on simulated tasks,mental model of AI's error boundary,human-AI team decision performance under varied AI error boundaries,decision_judgment,performance_with_tool,False,assisted_for_durable,"Performance measured while AI assistance present; used to infer humans' underlying mental model of AI capabilities, not durable independent capacity."
10.3390/data10110172,Gerlich 2025,2025,Data,main,abstract only,produced responses to tasks under four AI-assistance conditions,critical reasoning quality,expert rubric ratings of 450 responses; self-reported reflective engagement index,reasoning_critical,product_quality,False,product_for_process,"""critical reasoning assessed via expert rubric ratings"" of produced responses is used as evidence of a reasoning process, not a direct process measure."
10.1093/pnasnexus/pgaf316,Melumad et al. 2025,2025,PNAS Nexus,main,full text,searched web or ChatGPT/AI Overview to write advice for someone else,depth of learning and personal investment from search method,"self-reported learning/ownership items, time on task, query count, NLP-analyzed advice text, recipient ratings",self_reported_habit,self_report,False,self_for_actual,"""Self-reported depth of learning"" and investment items measured; actual learning/knowledge capacity is inferred from Likert self-reports, not tested directly."
10.1038/s41746-021-00385-9,Gaube et al. 2021,2021,npj Digital Medicine,main,full text,rated diagnostic advice and gave diagnoses for chest X-rays,algorithmic aversion and over-reliance on AI vs human advice,advice-quality Likert composite and diagnostic accuracy vs advice,decision_judgment,performance_with_tool,False,assisted_for_durable,Diagnostic accuracy measured while receiving advice; used to infer general reliance/aversion tendencies beyond the assisted task.
